year,return
2005,-0.010945164670461471
2006,0.27153030779538434
2007,0.9056737557460024
2008,-0.2039581947823439
2009,0.6201385233961003
2010,0.16477585492287172
2011,-0.17755614689294819
2012,-0.008501570490827559
2013,0.3019025550821963
2014,0.2507685261441146
2015,0.7822891340523641
2016,-0.01730626107653277
2017,-0.09616291449072567
2018,-0.03645963226481297
2019,0.21256466496599025
2020,0.10481457835966501
2021,0.249448403349668
2022,0.034740233247666064
2023,0.04643068150929941
2024,0.08648437460043734
2025,0.20412597709914482
2026,0.013624117846201322
