month,shr_roll20,roll3y_pct_approx
2020-01,0.083883,
2020-02,0.065797,
2020-03,0.070587,
2020-04,0.077803,
2020-05,0.087740,
2020-06,0.078594,
2020-07,0.057123,
2020-08,0.068728,
2020-09,0.088066,
2020-10,0.095972,
2020-11,0.074737,
2020-12,0.058935,
2021-01,0.043423,0.0
2021-02,0.044994,7.69
2021-03,0.061637,28.57
2021-04,0.077340,60.0
2021-05,0.055564,12.5
2021-06,0.055960,17.65
2021-07,0.045799,11.11
2021-08,0.047649,15.79
2021-09,0.039849,0.0
2021-10,0.044677,9.52
2021-11,0.060786,45.45
2021-12,0.059315,43.48
2022-01,0.062026,54.17
2022-02,0.059036,40.0
2022-03,0.058282,34.62
2022-04,0.057510,33.33
2022-05,0.056334,28.57
2022-06,0.050954,20.69
2022-07,0.053807,23.33
2022-08,0.060486,54.84
2022-09,0.062483,65.62
2022-10,0.063031,66.67
2022-11,0.063977,67.65
2022-12,0.060903,54.29
2023-01,0.056384,30.56
2023-02,0.067212,75.0
2023-03,0.065620,72.22
2023-04,0.054183,22.22
2023-05,0.061025,61.11
2023-06,0.068034,83.33
2023-07,0.082772,94.44
2023-08,0.100790,100.0
2023-09,0.088229,94.44
2023-10,0.076430,86.11
2023-11,0.079417,91.67
2023-12,0.078579,88.89
2024-01,0.077137,83.33
2024-02,0.070002,77.78
2024-03,0.066449,69.44
2024-04,0.063967,61.11
2024-05,0.066418,69.44
2024-06,0.072208,80.56
2024-07,0.067317,72.22
2024-08,0.073684,80.56
2024-09,0.058286,25.0
2024-10,0.047525,2.78
2024-11,0.047515,0.0
2024-12,0.053568,8.33
2025-01,0.049324,5.56
2025-02,0.046427,0.0
2025-03,0.059667,36.11
2025-04,0.062640,47.22
2025-05,0.071054,75.0
2025-06,0.067507,66.67
2025-07,0.061466,36.11
2025-08,0.056554,19.44
2025-09,0.039631,0.0
2025-10,0.042673,2.78
2025-11,0.050802,16.67
2025-12,0.043861,5.56
2026-01,0.038266,0.0
2026-02,0.040427,5.56
2026-03,0.040241,5.56
2026-04,0.037264,0.0
2026-05,0.031093,0.0
2026-06,0.023158,0.0
2026-07,0.024378,2.78
2026-08,0.027549,5.56
