date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out
2021-07-01,25,25,300938|605277|300932|300893|605500|605368|605169|605377|603327|002987|605066|603565|605158|603871|603360|300658|002763|002960|603811|603505|002469|601568|300697|002381|002003,002003|002381|002469|002763|002960|002987|300658|300697|300893|300932|300938|601568|603327|603360|603505|603565|603811|603871|605066|605158|605169|605277|605368|605377|605500,,002909|300394|002443|603326|002014|002107|300259|002582
2021-08-02,25,25,605155|300932|605277|003025|300893|300856|605500|605368|605169|002987|603327|605377|605158|603871|603360|002763|603811|002960|002909|002381|002582|002469|601568|603165|002014,002014|002381|002469|002582|002763|002909|002960|002987|003025|300856|300893|300932|601568|603165|603327|603360|603811|603871|605155|605158|605169|605277|605368|605377|605500,,603505|002003|300938|605066|603565|300658|300697
2021-09-01,25,25,300938|605155|300893|605277|300932|300856|605500|605368|002987|605377|603327|300622|603871|603360|605158|603811|300452|002763|300453|603165|002014|601568|603326|002818|600368,002014|002763|002818|002987|300452|300453|300622|300856|300893|300932|300938|600368|601568|603165|603326|603327|603360|603811|603871|605155|605158|605277|605368|605377|605500,,605169|002960|002381|002469|003025|002909|002582
2021-10-08,25,25,300938|605155|300893|300932|605277|300921|300856|605500|002987|605377|603327|605368|605158|603871|603360|300452|002763|603811|603319|002960|603565|605066|300403|601568|002469,002469|002763|002960|002987|300403|300452|300856|300893|300921|300932|300938|601568|603319|603327|603360|603565|603811|603871|605066|605155|605158|605277|605368|605377|605500,,603165|002014|300622|300453|603326|002818|600368
2021-11-01,25,25,300938|605155|605298|300932|003025|605277|300921|300893|605500|605368|603327|002987|605377|605158|603360|603811|002763|300701|603319|603565|300403|300453|002469|002014|002818,002014|002469|002763|002818|002987|003025|300403|300453|300701|300893|300921|300932|300938|603319|603327|603360|603565|603811|605155|605158|605277|605298|605368|605377|605500,,300856|603871|300452|601568|002960|605066
2021-12-01,25,25,605500|605368|605377|002987|603327|605158|603360|002763|603811|603565|300403|002469|002818|002014|603357|002443|002327|603058|002107|000589|600173|002003|603002|002154|000011,000011|000589|002003|002014|002107|002154|002327|002443|002469|002763|002818|002987|300403|600173|603002|603058|603327|603357|603360|603565|603811|605158|605368|605377|605500,,300938|605155|300932|605277|300921|300893|603319|605298|003025|300701|300453
2022-01-04,25,25,605500|605368|002987|603327|605158|603360|605377|002763|603811|603565|300403|002818|002014|603357|002327|002469|002107|002443|603058|000589|603002|002154|002003|600295|002020,000589|002003|002014|002020|002107|002154|002327|002443|002469|002763|002818|002987|300403|600295|603002|603058|603327|603357|603360|603565|603811|605158|605368|605377|605500,,600173|000011
2022-02-07,25,25,300938|605500|605368|605277|300932|603327|605158|300622|603360|605377|002763|603811|603565|300453|300403|002818|002014|002469|002327|603058|000589|603357|002107|000026|002443,000026|000589|002014|002107|002327|002443|002469|002763|002818|300403|300453|300622|300932|300938|603058|603327|603357|603360|603565|603811|605158|605277|605368|605377|605500,,002987|603002|002154|002003|600295|002020
2022-03-01,25,25,300938|605155|605500|605277|300932|603327|002987|605158|300622|603360|605368|605377|002763|603811|603565|300453|300403|002818|002469|002327|002014|603058|603357|000589|000026,000026|000589|002014|002327|002469|002763|002818|002987|300403|300453|300622|300932|300938|603058|603327|603357|603360|603565|603811|605155|605158|605277|605368|605377|605500,,002107|002443
2022-04-01,25,25,688191|300893|300938|605298|605155|605500|300822|300932|605277|603327|605158|300622|603408|605368|605377|603360|002763|300701|603319|603926|603811|300403|300453|002818|603565,002763|002818|300403|300453|300622|300701|300822|300893|300932|300938|603319|603327|603360|603408|603565|603811|603926|605155|605158|605277|605298|605368|605377|605500|688191,,002469|002327|002014|603058|603357|000589|000026|002987
