date,nav_3,nav_5,nav_10,hs300,ew_alla
2023-09-28,0.999,0.999,0.999,1.0,1.0
2023-10-09,0.9961983861401891,0.9930067480469874,0.9972597454151794,0.9987017270824339,0.9952602274965744
2023-10-10,0.9890276286026365,0.9755308942516093,0.9768230877583018,0.9912208020724665,0.9923400625693898
2023-10-11,0.9939184080255339,0.995697629120973,0.9977177955357083,0.9940455620613755,0.9949941261243671
2023-10-12,1.0024692011990988,0.9934623300838499,1.0028956351174088,1.0034869062806866,1.0002487806801617
2023-10-13,1.0021594153356816,0.9804739685006598,1.0000631317494095,0.9929240060419833,0.9934975098099363
2023-10-16,1.00155557280692,0.9795915663963284,0.9916920456125176,0.9829462772498406,0.9871067496841593
2023-10-17,0.9952724476670523,0.9657766659417795,0.978457325941514,0.9864169212392843,0.985524974023201
2023-10-18,0.9756823328030286,0.9431854340000961,0.951526567678751,0.9786042454879597,0.9678953061087219
2023-10-19,0.9563705202194093,0.931227535594013,0.9406650386565553,0.9577256318374465,0.9593436782291741
2023-10-20,0.9535588190196012,0.9656151665448534,0.953531685277991,0.9515036792078747,0.9505199506663757
2023-10-23,0.9383398564859158,0.9399488852129931,0.9264493289378789,0.9416527962874274,0.9275244248479422
2023-10-24,0.953630576402005,0.9523558210280494,0.9471061969790998,0.9451453943700491,0.9498345904777133
2023-10-25,0.9672283925758873,0.9545103057501071,0.9521842617561891,0.9498419440810275,0.9629423658649248
2023-10-26,0.9621156129640884,0.9504198039007343,0.9501968604099301,0.9524674910022098,0.9660808218081194
2023-10-27,0.9818754841593613,0.984888931195539,0.9874505801334896,0.965542373161582,0.981110732133544
2023-10-30,0.9800071570409628,0.9831898230722227,0.9905982365557446,0.9713390668751493,0.9933119612907194
2023-10-31,0.9821209207274577,0.9780659030576712,0.9911017189426543,0.9682855506560886,0.9893231250147436
2023-11-01,0.9868406341020527,0.9743244872009877,0.9870771811908693,0.9678846851769487,0.9910734442015062
2023-11-02,0.9834500788933208,0.9657875021953244,0.9769652288273917,0.963320944177788,0.9810403695823563
2023-11-03,0.9848509283260631,0.9743008288069207,0.9822457275309046,0.9714377247753568,0.9936900889787569
