ym,market_cap_log,circ_mv,float_ratio,mv_volatility_60d,avg_amount_20d,turnover_rate,amihud_illiquidity,amount_cv,zero_volume_ratio,log_amount_60d,turnover_rate_60d,amihud_60d,amount_cv_60d,turnover_std_20d,amount_ratio_10_60,volume_slope_20d,turnover_chg_20_60,vp_corr,volume_surge,up_down_volume_ratio,obv_factor,vr,mfi,tail_volume_ratio,vp_corr_60d,obv_slope_60d,vol_surge_5d,vwap_slope_20d,volatility_20d,volatility_60d,idiosyncratic_vol,volatility_120d,downside_vol_20d,return_skew_60d,return_kurt_60d,atr_ratio_20d,gk_vol_20d,vol_ratio_20_60,max_drawdown_20d,max_drawdown_60d,max_drawdown_120d,max_drawdown_250d,dd_current,dd_area_120d,dd_duration_120d,return_5d,return_10d,return_20d,return_60d,return_120d,return_250d,mom_3_1,mom_6_1,mom_12_1,mom_accel,price_52w_pos,rsi_14,macd_hist_norm,boll_pos_20,ma5_ma20_ratio,ma20_ma60_ratio,roe,roa,roe_ttm,roa_ttm,net_profit_margin,gross_profit_margin,revenue_growth_yoy,profit_growth_yoy,ocf_to_asset,div_yield_ttm,debt_to_asset,vp_divergence_20d,up_vol_shrink_ratio,down_vol_expand_ratio,turnover_zscore_20d,turnover_momentum_5_20,realized_vol_ratio_5_60,overnight_gap_ratio_20d,large_order_proxy_20d,vol_ma_ratio_5_20,price_level_log,shell_value_proxy,mktcap_rank_pct,microcap_liq_interact,strong_reversal_micro,gp_margin,roe_report,accrual_quality,cf_or_ratio,cf_np_ratio,ocf_stability,dupont_np_margin,dupont_asset_turn,dupont_leverage,dupont_roe_check,dupont_tax_burden,cash_to_asset,inventory_to_asset,ar_to_asset,asset_yoy,revenue_yoy,net_profit_yoy,profit_accel,revenue_accel,growth_persist,margin_trend
2006-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,-0.0078,-0.008623,-0.004802,-0.050334,-0.063584,0.029321,-0.046531,0.020611,-0.022053,-0.057199,0.029636,-0.075485,-0.006076,0.028373,0.037934,0.018972,0.022178,-0.085219,0.043244,-0.04546,-0.025024,-0.014332,0.063294,,-0.041563,0.006479,0.084045,0.069294,-0.092086,-0.063616,-0.061683,-0.093776,0.142815,-0.00717,-0.024655,-0.179469,-0.135139,-0.051191,0.198716,0.14899,0.141824,0.093507,0.093507,0.00428,-0.070382,0.217917,0.174748,0.132326,0.091128,0.015836,-0.050058,-0.022157,0.029187,0.077635,0.039223,-0.09275,0.122479,-0.180841,-0.137867,-0.131512,0.030531,,,,,,,,,,,,-0.034842,-0.000179,-0.081835,0.01607,0.10679,0.004021,0.021477,-0.087696,-0.084045,-0.023771,0.020134,-0.020134,-0.044613,0.108843,0.049804,-0.09316,0.048648,-0.048965,-0.048648,,0.041314,-0.02579,-0.00751,0.005144,0.047348,0.037491,-0.113937,0.041113,0.040811,0.020568,0.054052,,,,
2006-08,0.112828,0.179204,0.109685,0.066233,0.244572,0.141404,0.206003,0.056938,-0.013674,0.205945,0.106886,0.216225,0.039892,0.135468,0.080019,0.078677,0.009903,-0.089296,0.138739,-0.027318,-0.109098,0.058456,0.039168,,-0.013952,-0.099482,0.098722,-0.029465,0.110883,0.102827,0.060741,0.108158,-0.046573,-0.037417,0.064908,0.055782,0.049657,0.031275,0.076124,0.023557,0.01838,0.024157,0.024157,-0.021632,0.02754,0.144513,0.023989,0.089659,0.066079,0.018635,-0.023515,-0.02778,0.001359,0.039837,0.006103,-0.024842,0.024507,-0.010553,-0.082604,-0.009641,-0.028006,,,,,,,,,,,,-0.104959,0.157317,-0.023271,0.129944,0.096505,0.063204,-0.091749,-0.097283,-0.099076,0.107491,-0.172839,0.172839,0.216844,0.045565,0.00647,-0.133383,0.078767,-0.04028,-0.078767,,-0.093816,-0.120802,0.008389,-0.133507,0.032311,-0.049708,-0.078259,-0.081187,-0.113213,-0.156123,-0.14314,,,,
2006-09,0.004735,-0.025769,-0.035595,0.152254,0.002414,0.280977,-0.089036,0.092897,-0.01045,-0.057604,0.207113,-0.131485,0.039586,0.270621,0.173309,0.07102,0.14617,-0.138467,-0.012524,-0.09299,-0.102882,0.101016,0.076366,,-0.117204,-0.100882,0.072314,-0.152804,0.248846,0.193867,0.173662,0.205218,-0.172643,0.050479,-0.066343,0.280962,0.270791,0.100683,0.046477,0.048762,0.012225,0.01582,0.01582,-0.089912,-0.006971,0.09709,0.163152,0.175398,0.071111,0.090398,0.040544,0.002581,-0.055728,-0.023837,-0.034923,-0.015769,0.101938,-0.12065,-0.10685,-0.177051,-0.099474,,,,,,,,,,,,-0.122658,0.046926,-0.139493,-0.023077,0.068791,0.053936,0.014777,-0.090658,-0.072314,0.178673,0.009887,-0.009887,-0.050384,0.161747,-0.000571,0.209759,-0.091724,0.121899,0.091724,,0.113101,0.124145,0.003319,0.219701,-0.028751,0.01389,0.088843,0.003164,0.067072,0.09359,0.058912,,,,
2006-10,-0.273533,-0.289016,-0.037752,-0.081274,-0.355512,0.232272,-0.433428,0.135858,0.051526,-0.401401,0.20667,-0.464448,0.137066,0.253617,0.004326,-0.097127,0.10853,-0.037264,-0.218389,-0.020304,-0.039697,0.061319,-0.063511,,-0.04949,-0.045284,-0.204719,-0.11748,0.098106,0.126485,0.080885,0.109689,-0.195412,-0.153034,0.007253,0.119096,0.092243,0.000151,-0.193275,-0.162854,-0.155243,-0.162064,-0.162064,-0.109584,-0.048293,-0.157155,-0.194571,-0.06391,-0.108627,0.009311,-0.248783,0.115212,0.001649,0.217715,-0.062018,0.163086,-0.131701,0.177619,0.136455,0.158398,-0.017643,,,,,,,,,,,,-0.068421,-0.006478,-0.091338,-0.142209,-0.197504,-0.047684,0.052871,-0.072956,0.204719,-0.069496,0.268193,-0.268193,-0.400121,-0.006779,0.158341,0.260913,-0.046364,0.111111,0.046364,0.107716,0.263966,0.000798,-0.04703,0.277561,-0.077867,0.055256,-0.055288,0.275207,0.16852,0.140668,0.200877,,,0.077699,
2006-11,-0.150612,-0.165994,-0.033435,-0.066643,-0.225952,0.029376,-0.222629,0.011001,-0.012817,-0.197654,0.158823,-0.232002,0.081535,0.037698,-0.191481,0.071683,-0.172537,0.012861,0.045491,0.038111,0.091089,-0.086283,-0.082451,,-0.016474,0.058104,0.06818,0.241081,-0.056911,0.00816,0.013312,0.122446,-0.109022,-0.104068,0.019366,-0.03532,-0.051483,-0.123333,-0.14957,-0.260469,-0.259323,-0.261784,-0.261784,-0.197351,-0.127321,-0.076291,-0.148393,-0.184748,-0.225874,-0.203894,-0.254088,0.128049,0.140162,0.230956,0.101735,0.261629,-0.173328,-0.008236,0.161213,0.15407,0.241174,,,,,,,,,,,,0.015429,0.05226,0.039038,0.02901,0.069112,-0.126046,0.112391,-0.012675,-0.06818,-0.015453,0.139799,-0.139799,-0.197925,-0.130067,0.060115,0.195372,-0.093973,0.077799,0.093973,0.12732,0.14999,0.080792,0.004013,0.202631,0.012064,0.041762,-0.000577,0.113378,0.082809,0.089009,0.136384,,,0.055579,
