date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2007-01-04,30,30,600266|000014|600648|600067|600289|600639|600325|000031|600533|000069|000006|000002|600418|600962|600663|600498|600732|000652|000063|600057|000608|000717|600770|000761|000786|000755|600787|000858|600861|600522,000002|000006|000014|000031|000063|000069|000608|000652|000717|000755|000761|000786|000858|600057|600067|600266|600289|600325|600418|600498|600522|600533|600639|600648|600663|600732|600770|600787|600861|600962,,600833|000960|600850|000962|600961|600459|000751|600666|600589|000056|600330|600231|600499|000901|600637|600055|000625|600435|600332|002023|000402|600117|000798|600577|600216|600590|000523|600129|000990,
2007-02-01,30,30,600732|000060|600435|000903|000837|600489|600320|000014|600331|600648|000969|600971|000878|600020|000050|600819|000831|000970|600641|600764|600526|600123|000036|000028|600569|600166|600675|000002|600104|000761,000002|000014|000028|000036|000050|000060|000761|000831|000837|000878|000903|000969|000970|600020|600104|600123|600166|600320|600331|600435|600489|600526|600569|600641|600648|600675|600732|600764|600819|600971,,000717|600266|600067|600289|600639|600325|000031|600533|000069|000006|600418|600962|600663|600498|000652|000063|600057|000608|600770|000786|000755|600787|000858|600861|600522,
2007-03-01,30,27,600307|600497|600961|600808|000959|000060|600231|000751|000830|600331|600894|000559|600179|600114|600362|000419|600569|600067|600019|600376|600641|000519|600292|600630|000629|000676|600293|600218|000599|600237,000060|000519|000559|000599|000629|000676|000751|000959|600019|600067|600114|600179|600218|600231|600237|600292|600293|600307|600331|600362|600497|600569|600630|600641|600808|600894|600961,000830|000419|600376,600732|000014|600648|000002|000761|600435|000903|000837|600489|600320|000969|600971|000878|600020|000050|600819|000831|000970|600764|600526|600123|000036|000028|600166|600675|600104,
2007-04-02,30,28,600748|000599|600860|000576|000735|600732|000798|600522|000973|000544|000652|600707|600197|600488|000883|000420|000677|600061|000889|600217|600351|000830|000524|600739|000159|000958|000868|600678|000610|600556,000159|000420|000524|000544|000576|000599|000610|000652|000677|000735|000798|000830|000883|000889|000958|000973|600061|600197|600217|600351|600488|600522|600556|600678|600707|600732|600748|600860,600739|000868,000060|600331|600569|600641|600307|600497|600961|600808|000959|600231|000751|600894|000559|600179|600114|600362|600067|600019|000519|600292|600630|000629|000676|600293|600218|600237,
2007-05-08,30,29,600006|000983|000812|600348|600010|600744|000890|600123|000751|600373|600983|600827|600756|600159|600533|000400|000060|600768|600531|600425|600339|600589|000752|600808|000823|600435|600571|600287|600237|000868,000060|000400|000751|000752|000812|000823|000868|000890|000983|600006|600010|600123|600159|600237|600287|600339|600348|600373|600435|600531|600533|600571|600589|600744|600756|600768|600808|600827|600983,600425,000599|600748|600860|000576|600732|000798|600522|000973|000544|000652|600707|600197|600488|000883|000420|000677|600061|000889|600217|600351|000830|000524|000159|000958|600678|000610|600556,
2007-06-01,30,30,600594|600873|600281|600774|600983|600857|600883|000868|002020|000752|000990|000032|600116|600491|600776|002041|600010|600279|600744|000850|600163|600567|000705|600529|600619|600078|000812|000050|000761|000973,000032|000050|000705|000752|000761|000812|000850|000868|000973|000990|002020|002041|600010|600078|600116|600163|600279|600281|600491|600529|600567|600594|600619|600744|600774|600776|600857|600873|600883|600983,,600006|000983|600348|000890|600123|000751|600373|600827|600756|600159|600533|000400|000060|600768|600531|600339|600589|600808|000823|600435|600571|600287|600237,
2007-07-02,30,29,600330|000701|600983|000850|600797|600006|000919|600531|600408|600822|600499|600345|000610|000547|600960|000096|600191|600105|600351|600197|600420|000795|600058|000962|600497|600987|600392|000796|000811|002041,000096|000547|000610|000701|000795|000811|000850|000919|000962|002041|600006|600058|600105|600191|600197|600330|600345|600351|600392|600408|600420|600497|600499|600531|600797|600822|600960|600983|600987,000796,000868|000752|600010|600744|000812|600594|600873|600281|600774|600857|600883|002020|000990|000032|600116|600491|600776|600279|600163|600567|000705|600529|600619|600078|000050|000761|000973,
2007-08-01,30,30,600010|000883|600510|600864|600166|600237|600853|600310|600578|600662|600022|000713|600191|600639|600229|000066|000782|600812|600322|600861|000566|600741|600051|600802|600210|600676|000876|600602|600571|600158,000066|000566|000713|000782|000876|000883|600010|600022|600051|600158|600166|600191|600210|600229|600237|600310|600322|600510|600571|600578|600602|600639|600662|600676|600741|600802|600812|600853|600861|600864,,600983|000850|002041|600330|000701|600797|600006|000919|600531|600408|600822|600499|600345|000610|000547|600960|000096|600105|600351|600197|600420|000795|600058|000962|600497|600987|600392|000811,
2007-09-03,30,28,000042|600362|000983|600022|600808|600019|000975|000630|000623|000850|600675|000711|600111|600067|000898|000158|000825|000060|600846|000878|600119|000833|600007|600508|000785|000576|600497|600760|000709|600736,000042|000060|000158|000576|000623|000630|000709|000711|000785|000825|000833|000850|000878|000898|000975|600007|600019|600022|600067|600111|600362|600497|600508|600675|600736|600760|600808|600846,000983|600119,600191|600010|000883|600510|600864|600166|600237|600853|600310|600578|600662|000713|600639|600229|000066|000782|600812|600322|600861|000566|600741|600051|600802|600210|600676|000876|600602|600571|600158,
2007-10-08,30,30,600740|600022|000791|000717|600123|000915|600282|600967|600339|000937|600020|000901|600231|600805|600638|000900|002052|600997|000898|601001|600719|600033|600826|600540|600035|000066|600010|000959|600405|600505,000066|000717|000791|000898|000900|000901|000915|000937|000959|002052|600010|600020|600022|600033|600035|600123|600231|600282|600339|600405|600505|600540|600638|600719|600740|600805|600826|600967|600997|601001,,000042|600362|600808|600019|000975|000630|000623|000850|600675|000711|600111|600067|000158|000825|000060|600846|000878|000833|600007|600508|000785|000576|600497|600760|000709|600736,
