year,return
2006,0.29432161765991127
2007,1.5183532593300928
2008,-0.16308202411134054
2009,0.7456883381543844
2010,0.26248757424977964
2011,-0.11686937912784012
2012,0.0063798769372716
2013,0.4503943761521325
2014,0.4020113644581158
2015,0.8868723979047253
2016,0.05034415774257228
2017,-0.07582500270834514
2018,-0.03995601475802102
2019,0.19010515789511162
2020,0.23015288596183758
2021,0.13755066903302815
2022,-0.041492481445612794
2023,0.13428827667335175
2024,0.056395973990156945
2025,0.43977945182998734
2026,0.05068044211366596
