date,trend_ma,trend_ma_hs300,mom,vol,f_val,f_credit,f_m2,f_evt_fx,f_evt_shibor,f_breadth,f_trend_comp,f_mom_comp,f_vol_comp,f_val_q3,f_val_q5,f_val_abs,f_val_deind,pe_hs300,f_val_abs_v2,f_val_abs_s1,f_val_abs_s2,f_val_abs_s3,f_val_abs_s4,f_q_q3r60,f_q_q3r70,f_q_q5r60,f_q_q5r70,f_q_q3m60,f_q_q5m60,f_q_q3z,f_q_q5z,f_q_q8r60
2006-01-31,0.0,0.0,,,1.0,1.0,0.85,1.0,1.0,1.0,0.3,,,1.0,1.0,0.961,1.0,13.56,0.961,0.9466,0.911,0.8576,0.9288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-02-28,0.0,0.0,,,1.0,1.0,0.85,1.0,1.0,0.8475965012078959,0.3,,,1.0,1.0,0.948,1.0,14.08,0.948,0.9388,0.898,0.8368,0.9184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-03-31,0.0,0.0,,,1.0,1.0,0.85,1.0,1.0,0.846685586494249,0.3,,,1.0,1.0,0.94925,1.0,14.03,0.94925,0.93955,0.89925,0.8388,0.9194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-04-30,0.0,0.0,,1.0,1.0,1.0,0.85,1.0,1.0,0.9896670673749088,0.3,,1.0,1.0,1.0,0.9049999999999999,1.0,15.8,0.9049999999999999,0.913,0.855,0.76,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-05-31,0.0,0.0,,0.9531989677825248,1.0,1.0,0.85,1.0,1.0,1.0,0.3,,0.9531989677825248,1.0,1.0,0.8574999999999999,1.0,17.7,0.8574999999999999,0.8845000000000001,0.78625,0.665,0.765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-06-30,0.0,0.0,,0.8118418285808422,1.0,1.0,0.85,1.0,1.0,0.9970136808585328,0.3,,0.8118418285808422,1.0,1.0,0.85525,1.0,17.79,0.85525,0.88315,0.782875,0.6605000000000001,0.7605000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-07-31,1.0,1.0,,0.71802557809728,1.0,1.0,0.85,1.0,1.0,0.8709308034684045,1.0,,0.71802557809728,1.0,1.0,0.8388571428571429,1.0,18.52,0.8388571428571429,0.8703428571428572,0.7555,0.6305000000000001,0.7153333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-08-31,1.0,1.0,,0.9263648074286113,1.0,1.0,0.85,1.0,1.0,0.9932701100484831,1.0,,0.9263648074286113,1.0,1.0,0.8369285714285715,1.0,18.61,0.8369285714285715,0.8686714285714285,0.7521249999999999,0.627125,0.7093333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-09-30,1.0,1.0,,0.9610537178813817,1.0,1.0,0.85,1.0,1.0,0.956672173851058,1.0,,0.9610537178813817,1.0,1.0,0.8202142857142857,1.0,19.39,0.8202142857142857,0.8541857142857143,0.7228749999999999,0.5978749999999999,0.6573333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-10-31,1.0,1.0,,1.0,1.0,1.0,0.85,1.0,1.0,0.9472060405187731,1.0,,1.0,1.0,1.0,0.8435714285714285,1.0,18.3,0.8435714285714285,0.8744285714285714,0.7637499999999999,0.63875,0.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-11-30,1.0,1.0,,1.0,1.0,1.0,0.85,1.0,1.0,0.9984489420653416,1.0,,1.0,1.0,1.0,0.7383571428571428,1.0,23.21,0.7383571428571428,0.7832428571428571,0.6398125,0.47983333333333333,0.49475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-12-31,1.0,1.0,,1.0,1.0,1.0,0.85,1.0,1.0,0.9678985145456325,1.0,,1.0,1.0,1.0,0.6434,1.0,30.66,0.6434,0.6934,0.512,0.381,0.4,0.600000000001,0.6000000000013332,1.0,1.0,0.6000000000010584,1.0,0.6815777088121979,1.0,1.0
2007-01-31,1.0,1.0,1.0,0.726540918580461,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.726540918580461,1.0,1.0,0.6004999999999999,1.0,34.95,0.6004999999999999,0.6505,0.4507142857142857,0.3503571428571428,0.4,0.600000000001,0.6000000000013332,1.0,1.0,0.6000000000010466,1.0,0.7257921714073516,1.0,1.0
2007-02-28,1.0,1.0,1.0,0.6244321995149806,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.6244321995149806,1.0,1.0,0.6,1.0,35.15,0.6,0.6485000000000001,0.45,0.35,0.4,0.600000000001,0.6000000000013332,1.0,1.0,0.6000000000010461,1.0,0.8139236445651259,1.0,1.0
2007-03-31,1.0,1.0,1.0,0.6174889052512726,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.6174889052512726,1.0,1.0,0.6,1.0,36.37,0.6,0.6363000000000001,0.45,0.35,0.4,0.600000000001,0.6000000000013332,1.0,1.0,0.6000000000010437,1.0,0.846121603788538,1.0,1.0
2007-04-30,1.0,1.0,1.0,0.6549243676517219,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.6549243676517219,1.0,1.0,0.6012,1.0,34.88,0.6012,0.6512,0.4517142857142857,0.3508571428571428,0.4,0.7875000000005312,0.8500000000004999,1.0,1.0,0.6653222270942575,1.0,0.9150051950496948,1.0,1.0
2007-05-31,1.0,1.0,1.0,0.6739290394571802,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.6739290394571802,1.0,1.0,0.6,1.0,39.27,0.6,0.6073,0.45,0.35,0.4,0.600000000001,0.6000000000013332,1.0,1.0,0.6000000000010388,1.0,0.8610559715196393,1.0,1.0
2007-06-30,1.0,1.0,1.0,0.5,1.0,1.0,0.85,1.0,1.0,0.9726907779949594,1.0,1.0,0.5,1.0,1.0,0.6,1.0,37.29,0.6,0.6271,0.45,0.35,0.4,0.6555555555564166,0.6740740740751605,1.0,1.0,0.6770128354734222,1.0,0.9288835916748424,1.0,1.0
2007-07-31,1.0,1.0,1.0,0.5,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.6,1.0,43.81,0.6,0.5619000000000001,0.45,0.35,0.4,0.600000000001,0.6000000000013332,1.0,1.0,0.6000000000010329,1.0,0.8413242663306008,1.0,1.0
2007-08-31,1.0,1.0,1.0,0.5446769917199279,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.5446769917199279,1.0,1.0,0.6,1.0,42.64,0.6,0.5736,0.45,0.35,0.4,0.650000000000875,0.6666666666677779,1.0,1.0,0.6386776859513482,1.0,0.8941837930712702,1.0,1.0
2007-09-30,1.0,1.0,1.0,0.7370148403760944,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.7370148403760944,1.0,1.0,0.6,1.0,45.73,0.6,0.55,0.45,0.35,0.4,0.600000000001,0.6000000000013332,1.0,1.0,0.6000000000010312,1.0,0.8708939071788147,1.0,1.0
2007-10-31,1.0,1.0,1.0,0.7467688424232652,1.0,1.0,0.85,1.0,1.0,0.9374345405880508,1.0,1.0,0.7467688424232652,1.0,1.0,0.6,1.0,47.84,0.6,0.55,0.45,0.35,0.4,0.600000000001,0.6000000000013332,1.0,1.0,0.6000000000010292,1.0,0.8670939877025357,1.0,1.0
2007-11-30,0.0,0.0,1.0,0.7235577877798418,1.0,1.0,0.85,1.0,1.0,0.9731098203108758,0.3,1.0,0.7235577877798418,1.0,1.0,0.6,1.0,40.32,0.6,0.5968,0.45,0.35,0.4,0.7739130434788261,0.8318840579715748,1.0,1.0,0.8193698949829715,1.0,1.0,1.0,1.0
2007-12-31,1.0,1.0,1.0,0.765568324753794,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.765568324753794,1.0,1.0,0.6,1.0,43.17,0.6,0.5683,0.45,0.35,0.4,0.7250000000006875,0.7666666666674444,0.7250000000006875,0.7666666666674444,0.7362310385071025,0.7362310385071025,0.9675108475842326,0.9675108475842326,1.0
2008-01-31,0.0,0.0,1.0,0.6218411646697252,1.0,1.0,0.85,1.0,1.0,0.946248295002073,0.3,1.0,0.6218411646697252,1.0,1.0,0.6,1.0,35.92,0.6,0.6408,0.45,0.35,0.4,0.9600000000001,1.0,0.9600000000001,1.0,0.9477246207702781,0.9477246207702781,1.0,1.0,1.0
2008-02-29,0.5,0.0,1.0,0.5845282084104556,1.0,1.0,0.85,1.0,1.0,1.0,0.6499999999999999,1.0,0.5845282084104556,1.0,1.0,0.6,1.0,35.24,0.6,0.6476,0.45,0.35,0.4,0.984615384615423,1.0,0.984615384615423,1.0,0.9675612602101346,0.9675612602101346,1.0,1.0,1.0
2008-03-31,0.0,0.0,1.0,0.5,1.0,1.0,0.85,1.0,1.0,0.7855278721228998,0.3,1.0,0.5,1.0,1.0,0.6810999999999999,1.0,26.89,0.6810999999999999,0.7311,0.5708125000000001,0.4185,0.4311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-04-30,0.0,0.0,0.638895266862006,0.5,1.0,1.0,0.85,1.0,1.0,1.0,0.3,0.638895266862006,0.5,1.0,1.0,0.6759,1.0,27.41,0.6759,0.7259,0.5610625,0.4098333333333334,0.4259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-31,0.0,0.0,0.4,0.5,1.0,1.0,0.85,1.0,1.0,0.9614134539414,0.3,0.4,0.5,1.0,1.0,0.697,1.0,25.3,0.697,0.747,0.600625,0.445,0.447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-06-30,0.0,0.0,0.4,0.5,1.0,1.0,0.85,1.0,1.0,0.7970850169793066,0.3,0.4,0.5,1.0,1.0,0.8030714285714285,1.0,20.19,0.8030714285714285,0.8393285714285714,0.6964374999999999,0.5678749999999999,0.604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-07-31,0.0,0.0,0.4,0.5,1.0,1.0,0.85,1.0,1.0,1.0,0.3,0.4,0.5,1.0,1.0,0.7989999999999999,1.0,20.38,0.7989999999999999,0.8358,0.692875,0.5607500000000001,0.5913333333333335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-08-31,0.0,0.0,0.4,0.5,1.0,1.0,0.85,1.0,1.0,0.7574396539829285,0.3,0.4,0.5,1.0,1.0,0.8755,1.0,16.98,0.8755,0.8953,0.8132499999999999,0.701,0.8009999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-09-30,0.0,0.0,0.4,0.5,1.0,1.0,0.85,1.0,1.0,0.9423827862376084,0.3,0.4,0.5,1.0,1.0,0.89625,1.0,16.15,0.89625,0.9077500000000001,0.844375,0.7425000000000002,0.8425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-10-31,0.0,0.0,0.4,0.5,1.0,1.0,0.85,1.0,1.0,0.7078352974341838,0.3,0.4,0.5,1.0,1.0,0.99825,1.0,12.07,0.99825,0.96895,0.94825,0.9172,0.9586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-11-30,0.0,0.0,0.4,0.5,1.0,1.0,0.85,1.0,1.0,1.0,0.3,0.4,0.5,1.0,1.0,0.976,1.0,12.96,0.976,0.9556,0.9259999999999999,0.8815999999999999,0.9408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-12-31,0.0,0.0,0.4,0.5,1.0,1.0,0.85,1.0,1.0,0.9580399390733592,0.3,0.4,0.5,1.0,1.0,0.9895,1.0,12.42,0.9895,0.9637,0.9395,0.9032,0.9516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-01-31,0.5,0.0,0.4,0.5389959134788149,1.0,1.0,0.85,1.0,1.0,1.0,0.6499999999999999,0.4,0.5389959134788149,1.0,1.0,0.95875,1.0,13.65,0.95875,0.94525,0.90875,0.854,0.927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-02-28,1.0,1.0,0.4,0.5497200470368855,1.0,1.0,0.85,1.0,1.0,1.0,1.0,0.4,0.5497200470368855,1.0,1.0,0.9435,1.0,14.26,0.9435,0.9361,0.8935,0.8296,0.9148000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-03-31,1.0,1.0,0.4,0.5948684011880275,1.0,1.0,0.85,1.0,1.0,1.0,1.0,0.4,0.5948684011880275,1.0,1.0,0.8727499999999999,1.0,17.09,0.8727499999999999,0.89365,0.809125,0.6955,0.7955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-04-30,1.0,1.0,0.4,0.5822676426481347,1.0,1.0,0.85,1.0,1.0,1.0,1.0,0.4,0.5822676426481347,1.0,1.0,0.8257857142857142,1.0,19.13,0.8257857142857142,0.8590142857142857,0.732625,0.6076250000000001,0.6746666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-05-31,1.0,1.0,0.4,0.7848621302789861,1.0,1.0,0.85,1.0,1.0,1.0,1.0,0.4,0.7848621302789861,1.0,1.0,0.8000714285714285,1.0,20.33,0.8000714285714285,0.8367285714285715,0.6938124999999999,0.562625,0.5946666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-06-30,1.0,1.0,0.8390551804228137,0.972018718384586,1.0,1.0,0.85,1.0,1.0,0.9526873344955709,1.0,0.8390551804228137,0.972018718384586,1.0,1.0,0.7338571428571428,1.0,23.42,0.7338571428571428,0.7793428571428571,0.635875,0.47633333333333333,0.4895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-07-31,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6803999999999999,1.0,26.96,0.6803999999999999,0.7303999999999999,0.5695,0.41733333333333333,0.4304,1.0,1.0,0.9720930232558836,1.0,1.0,1.0,1.0,1.0,0.9720930232558836
