year,return
2006,0.4646284591134011
2007,1.6007342383109546
2008,-0.4751825496122951
2009,1.7575422085645052
2010,0.31554515389968185
2011,-0.29947203666974664
2012,0.002337169796743588
2013,0.6346677975576227
2014,0.39854822057790273
2015,1.565589929840547
2016,0.021274587317116067
2017,-0.16978839725395534
2018,-0.1001951504062284
2019,0.5325306404658905
2020,0.17198646225500425
2021,0.4803098354428872
2022,0.12744184022625293
2023,0.10462232536265281
2024,0.14832366472515557
2025,0.3700671934571429
2026,0.033346004111317384
