year,return
2006,0.8177247045260141
2007,2.1948776888983184
2008,-0.5919216008117816
2009,1.3792670642607159
2010,0.07326990258525545
2011,-0.2895663083680414
2012,0.08080908384865615
2013,0.16129513831278275
2014,0.3474611701330317
2015,0.7476684728469947
2016,-0.14364425669785552
2017,-0.3238521745703553
2018,-0.31678900548836286
2019,0.2262105941763004
2020,0.704060428633436
2021,-0.15216993155031733
2022,-0.024617224966544615
2023,0.003606248585847238
2024,-0.136519336055417
2025,0.7032094221801573
2026,0.09217782588840184
