year,return
2006,0.4643887636926034
2007,1.6397811926492722
2008,-0.7154510642165436
2009,0.21560813661449774
2010,0.25044525218454505
2011,-0.43522999837533194
2012,0.0869066744833018
2013,0.49002908844744053
2014,0.18087328665239766
2015,0.6531321504266847
2016,-0.13900140130683025
2017,-0.037629985640430075
2018,-0.3179681292144336
2019,1.0348657743003695
2020,-0.11664072796938063
2021,0.0936554445508
2022,-0.16727161487655262
2023,-0.0015625730176273
2024,0.11533002610844378
2025,-0.06379382034337322
2026,0.13601148392009454
