annual_return,max_drawdown,sharpe,calmar,monthly_win_rate,cumulative_return,avg_holdings,monthly_turnover_est,variant
0.1785,-0.4325,0.8996,0.4127,0.583,28.396,27.4,0.2516,p2_trend
0.1619,-0.3907,0.9052,0.4144,0.583,20.9648,27.4,0.2516,p2_trendvol
0.1365,-0.3367,0.8895,0.4052,0.583,12.9228,27.4,0.2516,p2_full
0.1794,-0.5045,0.8801,0.3555,0.5709,28.8571,27.4,0.2516,p2_base_v3dd
