year,return
2006,0.4643887636926034
2007,1.187598706914585
2008,-0.5044671469217507
2009,0.09742821019938441
2010,0.12515699841179773
2011,-0.2466069791688188
2012,0.04400597537576867
2013,0.22627626390740807
2014,0.08698414699587209
2015,0.3322982698504282
2016,-0.0692392834977622
2017,-0.020187143255248174
2018,-0.16851483103345155
2019,0.43661633545353973
2020,-0.061179788810308056
2021,0.04458553202631865
2022,-0.08737470985840157
2023,-0.005701838387670799
2024,0.054432988137318006
2025,-0.03367557122103226
2026,0.06787106535999365
