date,MA15_on_f0,MA15_off_f0,MA15_on_f10,MA15_off_f10,MA15_on_f18,MA15_off_f18,MA15_on_f30,MA15_off_f30,MA20_on_f0,MA20_off_f0,MA20_on_f10,MA20_off_f10,MA20_on_f18,MA20_off_f18,MA20_on_f30,MA20_off_f30,MA50_on_f0,MA50_off_f0,MA50_on_f10,MA50_off_f10,MA50_on_f18,MA50_off_f18,MA50_on_f30,MA50_off_f30,MA100_on_f0,MA100_off_f0,MA100_on_f10,MA100_off_f10,MA100_on_f18,MA100_off_f18,MA100_on_f30,MA100_off_f30,MA200_on_f0,MA200_off_f0,MA200_on_f10,MA200_off_f10,MA200_on_f18,MA200_off_f18,MA200_on_f30,MA200_off_f30
2017-01-20,7.421360431893235,15.198220700229923,7.421360431893235,16.45125574911296,7.442755920168003,17.434621049744536,7.7393794164213485,18.852879589158686,7.350214773732523,14.953715802827363,7.350214773732523,16.140253343968507,7.37257925353318,17.07798657662931,7.682626848313899,18.445377977759787,7.22989579879008,16.476322439513684,7.22989579879008,17.64813019691874,7.274212556804961,18.55362024317441,7.655332388722773,19.83593001055414,8.29607111081261,21.82461950183242,8.29607111081261,22.63044956363371,8.320110676081619,23.198146158021668,8.63282167413295,23.907092306105067,8.834938217863746,30.70362974259944,8.834938217863746,30.618445307551976,8.861993548436757,30.4454309565291,9.261301968590468,30.014566817959945
2017-01-23,7.489322667691377,15.390120232199475,7.489322667691377,16.658976662029986,7.510991580202923,17.65475837275774,7.8109977284166625,19.09092447880706,7.390601198906483,14.953715802827363,7.390601198906483,16.160632749713884,7.413134619066105,17.116800750026453,7.725282730934049,18.515247855374078,7.269621120387056,16.476322439513684,7.269621120387056,17.670413515418485,7.314226823055682,18.5957881784888,7.697836725616768,19.911067207735687,8.372043642561398,22.100186908729718,8.372043642561398,22.916191741299034,8.396389980365615,23.491056326790194,8.712707680851542,24.208953946015654,8.91584550702384,31.09130750393647,8.91584550702384,31.005047492113334,8.943240869387346,30.82984858451373,9.347003777247373,30.393544162626892
2017-01-24,7.473975489644746,15.346636677702229,7.473975489644746,16.61190805511708,7.495582498735217,17.604876264219605,7.794823398018583,19.036984597737113,7.38151427255781,14.953715802827363,7.38151427255781,16.156066692111473,7.404009624525251,17.10809556261658,7.715684627363684,18.499553849537826,7.260682942027022,16.476322439513684,7.260682942027022,17.66542088132925,7.305223576350935,18.586330814142965,7.688272721717678,19.894190069098112,8.354887585852712,22.03774459721129,8.354887585852712,22.851443873354032,8.379164470809314,23.424684224911047,8.694666168410782,24.140553481798978,8.897575087320488,31.003461499887102,8.897575087320488,30.917445208832124,8.924893474683174,30.74274131174131,9.327648819970237,30.307669633122245
2017-01-25,7.491626956552997,15.396610133208476,7.491626956552997,16.666001630504347,7.513305122124967,17.662203255087984,7.813425808487681,19.098974981868015,7.3919741319803105,14.953715802827363,7.3919741319803105,16.1613276134257,7.414513289117431,17.11812323973327,7.726732754446959,18.51762595192613,7.270971579301258,16.476322439513684,7.270971579301258,17.671173295639644,7.315587098564993,18.59722493871142,7.699281597557312,19.913624583183445,8.374619523955554,22.109506395722292,8.374619523955554,22.92585533155437,8.398976243444993,23.500962333231833,8.715416061089257,24.21916268462657,8.918588703492379,31.104418480647283,8.918588703492379,31.018122093608792,8.945995573935917,30.842849305912736,9.34990933097871,30.40636089764599
2017-01-26,7.519341160242495,15.475142449884869,7.519341160242495,16.751008635712143,7.541131121677155,17.75229151005001,7.842633791201476,19.19639166895003,7.408381463361008,14.953715802827363,7.408381463361008,16.169570898714266,7.4309893597768095,17.133839599077092,7.7440630995931965,18.545961385234563,7.287110331687458,16.476322439513684,7.287110331687458,17.68018669641611,7.331843341591451,18.61429927950459,7.716550372303915,19.944096155660976,8.40560023250591,22.222278671100142,8.40560023250591,23.0427914957748,8.430082381874099,23.620831901934665,8.747995844643265,24.342695523162494,8.951581748312268,31.263070419030047,8.951581748312268,31.17633386658266,8.979127632968256,31.000167078327454,9.384860963823053,30.561452306880305
2017-02-03,7.503339405089669,15.4298916342904,7.503339405089669,16.70190811710177,7.525070783202763,17.70016043464246,7.825819216491072,19.13987578640724,7.397824965716972,14.947394138069974,7.397824965716972,16.158584149791057,7.42039283991578,17.1186826911246,7.732945331671199,18.523856622636437,7.276733920091249,16.469215701524217,7.276733920091249,17.668028485427797,7.321394179292209,18.597687105118403,7.705473808610035,19.920182969670737,8.393556141901648,22.212043344975765,8.393556141901648,23.026332553938175,8.417994328578875,23.599175868664847,8.7353684358502,24.312999496838852,8.932432187930525,31.16933931801368,8.932432187930525,31.082873623942437,8.959904351537629,30.907256825172084,9.364629598118974,30.469910900409136
2017-02-06,7.561086207060604,15.598885413566833,7.561086207060604,16.884833483056006,7.583032405694675,17.894019022670513,7.886504523616007,19.349502660055418,7.431985814127037,14.947394138069974,7.431985814127037,16.176281618237052,7.454686046259217,17.1524308969772,7.768924401679148,18.58472062502147,7.310335607819274,16.469215701524217,7.310335607819274,17.687379152152385,7.355229865182251,18.6343510578378,7.741325061879465,19.985634894098546,8.432314966328239,22.212043344975765,8.432314966328239,23.0515518299603,8.456897931492586,23.645699883364898,8.77601147922094,24.3928849380571,9.001177497828854,31.510717246890035,9.001177497828854,31.423304549121994,9.028917734740176,31.24576433136517,9.437247608777277,30.803628435134595
2017-02-07,7.565459535534256,15.611725145956138,7.565459535534256,16.898731703192418,7.58742203067194,17.90874792217383,7.891100659518135,19.365429595181514,7.434565008249677,14.947394138069974,7.434565008249677,16.17761311803031,7.457275243375802,17.154972224194292,7.771640968867302,18.589309853668812,7.312872584490889,16.469215701524217,7.312872584490889,17.68883503319107,7.357784518703617,18.637111948337846,7.7440319783802085,19.99057005831446,8.435241314379127,22.212043344975765,8.435241314379127,23.053449246017973,8.459835221621722,23.649203262042924,8.779080195505806,24.398908409090527,9.006383774383524,31.53665430368085,9.006383774383524,31.449169654897272,9.034144346033083,31.271483300488764,9.4427474943631,30.828983473987737
2017-02-08,7.600444444329508,15.71446307950059,7.600444444329508,17.00993919361879,7.622537321764788,18.026602146270854,7.927868101310589,19.492869977343563,7.455192776664087,14.947394138069974,7.455192776664087,16.1882593120024,7.477983019208389,17.175293101507513,7.793367470856098,18.626009717313504,7.3331627079815815,16.469215701524217,7.3331627079815815,17.700475734914473,7.378216023169425,18.659188490370415,7.765681296311078,20.03003635378723,8.458645535629408,22.212043344975765,8.458645535629408,23.06862030312066,8.483326961651779,23.677216863683483,8.803623107883197,24.44707784726449,9.048031940425773,31.744191309602655,9.048031940425773,31.656130940202114,9.07595520184199,31.477275264101078,9.48674461008118,31.03186342644539
2017-02-09,7.695489902197469,15.994120547614497,7.695489902197469,17.31265119234208,7.717937357223986,18.347406865427892,8.027759752334607,19.839768667840264,7.511130206334842,14.947394138069974,7.511130206334842,16.217068235281946,7.534137536929839,17.23031094160455,7.85228563148281,18.725451283193106,7.388184527742689,16.469215701524217,7.388184527742689,17.731975826285048,7.433621359255573,18.718959711894055,7.824390148383422,20.136973814353166,8.52211202186705,22.212043344975765,8.52211202186705,23.109673643054798,8.54703092206213,23.753062400854237,8.870178840345062,24.57759725207575,9.161179841825579,32.309116762292646,9.161179841825579,32.21948925440171,9.189545521119216,32.037450629873916,9.606278205977857,31.584112161435073
2017-02-10,7.675022633134214,15.933583883226229,7.675022633134214,17.247123978652407,7.697393524327167,18.27796317150919,8.00624688049522,19.764676485446714,7.499144043671568,14.947394138069974,7.499144043671568,16.210930184651414,7.522104783455715,17.218572140550688,7.839660050774278,18.704188913252697,7.376394560174144,16.469215701524217,7.376394560174144,17.725264393378556,7.42174913993419,18.7062067125583,7.811809420433668,20.114108689222356,8.508512547736967,22.212043344975765,8.508512547736967,23.10092678790082,8.533380478926896,23.736879728650084,8.855916603322141,24.549689889144048,9.136814358257602,32.18682894082115,9.136814358257602,32.09754066698494,9.165084518283157,31.916191046337413,9.580535204409008,31.464568433336602
2017-02-13,7.732970870719997,16.10478576520017,7.732970870719997,17.43243947988698,7.755558406908337,18.47435475023662,8.067154263827632,19.977042381011287,7.533116231234113,14.947394138069974,7.533116231234113,16.228348373657106,7.5562089778256825,17.251873710106832,7.875444096934902,18.764480289622504,7.409810675143298,16.469215701524217,7.409810675143298,17.74430969194335,7.455398335541004,18.74238544090377,7.84746634268391,20.17894482314666,8.547057317975634,22.212043344975765,8.547057317975634,23.125748084668803,8.572069658998714,23.782788027252142,8.896339341868899,24.628823745187372,9.205799469379457,32.53266737427258,9.205799469379457,32.44241972302128,9.23433991794119,32.259121551653614,9.653418958674216,31.802646380568294
