date,MA15_on_f0,MA15_off_f0,MA15_on_f10,MA15_off_f10,MA15_on_f18,MA15_off_f18,MA15_on_f30,MA15_off_f30,MA20_on_f0,MA20_off_f0,MA20_on_f10,MA20_off_f10,MA20_on_f18,MA20_off_f18,MA20_on_f30,MA20_off_f30,MA50_on_f0,MA50_off_f0,MA50_on_f10,MA50_off_f10,MA50_on_f18,MA50_off_f18,MA50_on_f30,MA50_off_f30,MA100_on_f0,MA100_off_f0,MA100_on_f10,MA100_off_f10,MA100_on_f18,MA100_off_f18,MA100_on_f30,MA100_off_f30,MA200_on_f0,MA200_off_f0,MA200_on_f10,MA200_off_f10,MA200_on_f18,MA200_off_f18,MA200_on_f30,MA200_off_f30
2006-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-02-06,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648,0.9995036632355648
2006-02-07,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068,0.9993927078333068
2006-02-08,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753,1.0085484230274753
2006-02-09,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725,0.9936635789461725
2006-02-10,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708,1.024659920621708
2006-02-13,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094,1.0564152850496094
2006-02-14,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444,1.0535277484371444
2006-02-15,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617,1.0455820356788617
