year,return
2006,0.20881542343297266
2007,0.5320619999311831
2008,-0.15710139814180124
2009,0.47757808592661455
2010,0.13324472334346615
2011,-0.15637810879696667
2012,0.004961714826607899
2013,0.29935399119083606
2014,0.2482213712534953
2015,0.983374236669319
2016,-0.01979558359527689
2017,-0.08518649430437719
2018,-0.03198246292558404
2019,0.2044038954293863
2020,0.09636888263408006
2021,0.2406363588097684
2022,0.03509507840757187
2023,0.04582272589010006
2024,0.08768145190318877
2025,0.20920249535986812
2026,-0.007166383358208406
