year,return
2006,0.47385404098539685
2007,1.9469365251931126
2008,-0.7137565193377993
2009,0.21560813661449751
2010,0.20348546834221692
2011,-0.4030286767595407
2012,0.0717630662802553
2013,0.4824735486494063
2014,0.19139531775623575
2015,0.6532356386081104
2016,-0.1390014013068298
2017,-0.037629985640429076
2018,-0.3278675622573758
2019,1.0040529163050826
2020,-0.12411716516124727
2021,0.09365544455080133
2022,-0.1582596761024676
2023,-0.00854500452039375
2024,0.1153300261084449
2025,-0.06379382034337333
2026,0.13601148392009543
