year,return
2006,0.310309973624743
2007,0.7932427965015301
2008,-0.1809221469513238
2009,0.5252948319269382
2010,0.18889802392212607
2011,-0.2003845867978531
2012,0.021399496282551445
2013,0.33136837166540145
2014,0.26982665889871416
2015,0.7662473362119604
2016,-0.06445064659577637
2017,-0.02592378451746591
2018,-0.04369042293854575
2019,0.052789442993717905
2020,0.032222696278185525
2021,0.10320996588042797
2022,-0.025451985914003772
2023,-0.0027653824839208863
2024,0.06575280490360003
2025,0.23484188560086716
2026,-0.012064972376164773
