ym,roc,roc_g,ev_ebit,ev_np,mf_score
2006-01,,,,,
2006-02,,,,,
2006-03,,,,,
2006-04,,,,,
2006-05,,,,,
2006-06,-0.0528504212714739,,-0.04431557063136011,-0.04431557063136011,-0.06795425955348308
2006-07,-0.15326921610130398,-0.06383937203514808,-0.011990101792212526,-0.011990101792212526,-0.053905811520995967
2006-08,0.05675351441139377,-0.14599303135888506,0.0624134854963241,0.0624134854963241,0.07761047111673637
2006-09,0.11388491566143029,0.15349769201899316,0.16848937954555745,0.16848937954555745,0.16531290413428332
2006-10,-0.04978243011159735,0.12726641225567958,-0.05368955971204301,-0.05368955971204301,-0.046387925263221955
2006-11,0.12685633001422475,0.20791165523393523,-0.149103840682788,-0.149103840682788,-0.04738399387390948
2006-12,0.059456740442655934,-0.10729940918620162,0.00868544600938967,0.00868544600938967,0.04175155312067853
2007-01,0.21578403968673668,0.24109620721554115,-0.0027448314069149606,-0.0027448314069149606,0.10873835309416156
2007-02,-0.42957949308755766,-0.13043478260869565,-0.06864439324116743,-0.06864439324116743,-0.24753675383580348
2007-03,-0.16516608391608392,0.050306122448979584,-0.28238636363636366,-0.28238636363636366,-0.2734792444403477
2007-04,-0.2883635144198524,-0.010447346485134762,-0.3743125419181757,-0.3743125419181757,-0.3650021800234849
2007-05,0.14856377799415774,0.028571428571428574,-0.22127555988315484,-0.22127555988315484,-0.06025049604172634
2007-06,0.1409639050088488,-0.06975817923186343,-0.07962299872412232,-0.07962299872412232,-0.021789236272098982
2007-07,-0.14828991233485614,0.15894853757867455,-0.06092110137053957,-0.06092110137053957,-0.11997760973239431
2007-08,-0.029783918656531447,0.16194110237095385,-0.3393986015383686,-0.3393986015383686,-0.2098484176071775
2007-09,-0.018948728969567917,0.25780407523036925,-0.25985238049716214,-0.25985238049716214,-0.17747735769212145
2007-10,0.16612067178104914,0.3070602191965695,-0.02734812357453867,-0.02734812357453867,0.0687662151128684
2007-11,-0.08914477056069976,-0.19587193124581737,0.20909215157002767,0.20909215157002767,0.06375781597020536
2007-12,-0.0069994811431531865,-0.26907730496630056,-0.09718562529093219,-0.09718562529093219,-0.05487674605547716
2008-01,0.21871353977392266,0.14710321324245376,0.13125362609898691,0.13125362609898691,0.18933496547634984
2008-02,-0.06476899180002167,0.0345945945945946,-0.043412924899757975,-0.043412924899757975,-0.0843766932774627
2008-03,0.04808177808263549,-0.07849748487278559,0.04977754913448989,0.04977754913448989,0.04278487524650604
2008-04,-0.01813562634356068,0.28671328671328666,-0.09603283173734611,-0.09603283173734611,-0.06656276413390042
2008-05,0.03841172831936988,0.07426226304475278,-0.04883710693439789,-0.04883710693439789,0.002126792019224195
2008-06,0.1135378705801241,0.002199226423118204,0.10114416100331593,0.10114416100331593,0.10658992276125902
2008-07,-0.1729721003404914,-0.18132161602522198,-0.09435930179335315,-0.09435930179335315,-0.14907993321291013
2008-08,0.029865134657007075,0.0020803428806106866,0.014816308536432373,0.014816308536432373,0.019254828368383634
2008-09,0.050943861112164056,0.09256186824677587,-0.06289374928926122,-0.06289374928926122,0.005910570985989084
2008-10,0.06183240866173729,-0.010744319941971607,0.11167701739748487,0.11167701739748487,0.08812504531107394
2008-11,-0.22716240278417432,-0.16363517662920518,-0.08520093988874734,-0.08520093988874734,-0.1757098536066857
2008-12,0.07131599499307056,-0.118121445237529,0.32131115641109864,0.32131115641109864,0.22769652948072644
2009-01,-0.1274934263801078,0.015314195372203942,-0.17281446208724457,-0.17281446208724457,-0.1581814540130771
2009-02,-0.18216493352743873,-0.038538207926503545,-0.10428623780506782,-0.10428623780506782,-0.16471529565463708
2009-03,-0.11947559082283941,-0.13319382511805242,-0.09457272645128433,-0.09457272645128433,-0.11791079228258729
2009-04,-0.015642252484357747,-0.24487734487734494,0.14162153635837843,0.14162153635837843,0.0910823672002862
2009-05,-0.14062546626480857,-0.06116148948485434,-0.09735609202948284,-0.09735609202948284,-0.10091763657134538
2009-06,0.019616575150484088,0.2367237584944676,-0.26255322602999737,-0.26255322602999737,-0.1826370622684367
2009-07,0.081989474354081,0.06736197493132788,0.10801181996300989,0.10801181996300989,0.14329121155483784
2009-08,0.06101167913465738,-0.16120852652394144,-0.07336777208086415,-0.07336777208086415,-0.06471962517267044
2009-09,-0.0171990171990172,-0.02709324693732915,-0.0015733832247593715,-0.0015733832247593715,-0.040232540848320966
2009-10,-0.11069906990699069,0.05197176241480039,-0.06262226222622262,-0.06262226222622262,-0.06747155681922225
2009-11,-0.0343377596186585,0.011460064736243548,-0.11925434116445355,-0.11925434116445355,-0.09086846419456644
2009-12,0.018790637487607967,-0.0674641577988501,0.2001266682179237,0.2001266682179237,0.1275259831697895
2010-01,0.06632383501813956,-0.16536244608161238,0.11514212250361032,0.11514212250361032,0.09490892602344736
2010-02,-0.014305256986515535,-0.02312062937062937,-0.0073675982020715266,-0.0073675982020715266,-0.04310247955359655
2010-03,-0.02156558176498212,-0.1832915300019294,0.12343315392117907,0.12343315392117907,0.06565880972804052
2010-04,0.029035538068592583,0.07796894364656994,-0.18718753543942523,-0.18718753543942523,-0.10140796340424821
2010-05,0.10563952176855403,-0.10499026195973224,0.10600045116174146,0.10600045116174146,0.10819259267898577
2010-06,0.09024156135018396,-0.042004182642035544,0.09744929700136867,0.09744929700136867,0.13658960151706778
2010-07,-0.23596328988836066,-0.08163347577199065,-0.24958936488435446,-0.24958936488435446,-0.2803836289220126
2010-08,0.013345249332235458,0.0813380702173394,-0.1774847870182556,-0.1774847870182556,-0.08773303313794462
2010-09,-0.0009934763939340597,0.15490342745705662,-0.456227030025657,-0.456227030025657,-0.2890171753261199
2010-10,0.01437274113230423,0.13773625294161296,-0.004547989759855592,-0.004547989759855592,0.0026097291423171996
2010-11,0.11343173050644025,-0.05343647194807504,0.17018286055418624,0.17018286055418624,0.1643852524338781
2010-12,-0.11568867735609761,-0.10021900888278261,-0.0823357384762838,-0.0823357384762838,-0.10568487990127604
2011-01,-0.12396052168904301,0.042619793999104344,-0.18412388357792228,-0.18412388357792228,-0.18184499566152681
2011-02,-0.1566942739899331,0.019837536698353538,-0.1409258749890838,-0.1409258749890838,-0.1682464050393661
2011-03,-0.08595103178057271,0.0739689059409803,-0.15409504992740702,-0.15409504992740702,-0.14933056585676285
2011-04,-0.07464512469330709,0.17192132179386307,-0.3002720084199591,-0.3002720084199591,-0.24708684449729698
2011-05,-0.027987801296733318,0.027330909616860414,-0.20439333469770501,-0.20439333469770501,-0.15996009267816783
2011-06,0.007152681606538923,-0.021458936162612078,-0.008674244189946091,-0.008674244189946091,-0.006969763664117948
2011-07,0.0591847919868842,0.0016948879311641312,0.15986402768806074,0.15986402768806074,0.11685750892077093
2011-08,0.15650970417876767,0.03968861461769875,0.28641064980400427,0.28641064980400427,0.27862834775232204
2011-09,-0.04520939264256024,0.10172488371997539,-0.06345687733965713,-0.06345687733965713,-0.06898606169347268
2011-10,0.13108660084452908,0.04196965335049741,0.15546108014462803,0.15546108014462803,0.18722894011099392
2011-11,0.09328725883356624,0.019157600810150298,0.13586664484057587,0.13586664484057587,0.12362113889418268
2011-12,0.13156471160827554,0.14898821373631344,-0.21054750145612092,-0.21054750145612092,-0.05048063569211147
2012-01,-0.1247063635200053,0.16971146623190883,-0.3693406757846573,-0.3693406757846573,-0.29044955733389655
2012-02,-0.0836262421175817,-0.2283332753598778,0.2565618722533581,0.2565618722533581,0.09219004083540014
2012-03,0.13423073751334536,0.07809318801399329,-0.0058181254670449725,-0.0058181254670449725,0.06949552779809502
2012-04,-0.08278077280655016,0.2560258787550244,-0.20406455366205487,-0.20406455366205487,-0.17613937248590802
2012-05,-0.01815703393447997,-0.15543941746299011,0.0650790169401188,0.0650790169401188,0.03836960713051086
2012-06,0.2768945394803518,-0.07251061991504068,0.22254804691875626,0.22254804691875626,0.2832382024957129
2012-07,0.07937045110931401,0.20804298372341637,-0.26955539537990925,-0.26955539537990925,-0.15833904511260585
2012-08,-0.057654172441521594,-0.3046514408637864,0.25289760753998297,0.25289760753998297,0.12923712972467555
2012-09,-0.20815300256104946,0.02808908504642972,-0.3296882712525256,-0.3296882712525256,-0.32631744683703895
2012-10,-0.008658435967759144,0.07262466278595774,-0.047451519380515624,-0.047451519380515624,-0.025068237709409653
2012-11,-0.009508484604111037,0.07731584066307287,-0.04963947498333883,-0.04963947498333883,-0.03136569550215544
2012-12,-0.024206137359690225,-0.11915128264870072,0.2799377263986576,0.2799377263986576,0.1784613858093009
2013-01,-0.0034349816441138848,0.08210110532743944,-0.08356479290206985,-0.08356479290206985,-0.03340549002172168
