date,pos_ratio
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,0.3
2006-05-31,0.3
2006-06-30,0.3
2006-07-31,0.4650318113293644
2006-08-31,0.6313918402137345
2006-09-30,0.7434771252083616
2006-10-31,0.8273404969186977
2006-11-30,0.8823070608715055
2006-12-31,0.9190996565568502
2007-01-31,0.859652808853198
2007-02-28,0.7876631553814426
2007-03-31,0.7358943332066122
2007-04-30,0.711365687923333
2007-05-31,0.7000580020488812
2007-06-30,0.6397543059276043
2007-07-31,0.5976882162054158
2007-08-31,0.5817477665097104
2007-09-30,0.6284038640933562
2007-10-31,0.663953880683624
2007-11-30,0.554680524791411
2007-12-31,0.5573684174998316
2008-01-31,0.4801276925086443
2008-02-29,0.4463656802580297
2008-03-31,0.4024475622935012
2008-04-30,0.37170917137630305
2008-05-31,0.3501944002685047
2008-06-30,0.33513509060513974
2008-07-31,0.3245940785512352
2008-08-31,0.3172156174063695
2008-09-30,0.31205081577323707
2008-10-31,0.30843551400070407
2008-11-30,0.30590483185093886
2008-12-31,0.30413336860048595
2009-01-31,0.31799763617790494
2009-02-28,0.38751462277893867
2009-03-31,0.4497209212560258
2009-04-30,0.4894850114842237
2009-05-31,0.5780982622621128
2009-06-30,0.696274506585311
2009-07-31,0.7873922126225914
2009-08-31,0.6411744836700224
2009-09-30,0.5388221066377882
2009-10-31,0.5586999748665455
2009-11-30,0.5967268825736151
2009-12-31,0.6548027128519169
2010-01-31,0.6101435426776461
2010-02-28,0.5988637750676153
2010-03-31,0.6142046431103922
2010-04-30,0.5199432477554771
2010-05-31,0.4539602722421532
2010-06-30,0.40777218998803366
2010-07-31,0.37544053270670147
2010-08-31,0.4329455118607431
2010-09-30,0.6030618590371021
2010-10-31,0.7221433016859166
2010-11-30,0.7546091973132727
2010-12-31,0.7730281753647598
2011-01-31,0.631119722608204
2011-02-28,0.7245579186370567
2011-03-31,0.8071905430879188
2011-04-30,0.6550333801074337
2011-05-31,0.54852336604869
2011-06-30,0.47396635622109135
2011-07-31,0.42177644934839803
2011-08-31,0.38524351454075934
2011-09-30,0.35967046017700305
2011-10-31,0.3417693221231532
2011-11-30,0.3292385254858402
2011-12-31,0.32046696783990836
2012-01-31,0.3143268774878477
2012-02-29,0.37394182920814656
2012-03-31,0.3517592804455466
2012-04-30,0.5462314963128398
2012-05-31,0.6823620474194569
2012-06-30,0.5676534331933432
2012-07-31,0.48735740323520466
2012-08-31,0.43115018226457685
2012-09-30,0.3918051275851713
2012-10-31,0.36426358930960395
2012-11-30,0.3449845125167149
2012-12-31,0.5414891587617562
2013-01-31,0.6790424111332567
2013-02-28,0.775329687793293
2013-03-31,0.8427307814553118
2013-04-30,0.7849115470187144
2013-05-31,0.8494380829131032
2013-06-30,0.6846066580391668
2013-07-31,0.569224660627414
2013-08-31,0.5737851637637608
2013-09-30,0.701649614634634
2013-10-31,0.6861547302442438
2013-11-30,0.7803083111709712
2013-12-31,0.7412158178196797
2014-01-31,0.7138510724737757
