ym,pe_ttm,pb,peg_np,peg_rev,pegy,pcf_proxy,neff_val,buf_quality,davis_dp,graham_score
2006-01,,,,,,,,,,
2006-02,,,,,,,,-0.24646401524681025,,
2006-03,,,,,,,,0.23923971254813864,,
2006-04,0.04835106359875946,-0.15203292583799882,0.04461895603526454,0.05051965195617839,0.042021412228318324,0.016140512245261928,0.08633627377683599,0.12279164640360103,0.006046917803535716,0.03744145737638276
2006-05,-0.27173360391005746,-0.07361891151357518,-0.2341815366894294,-0.21422046638346473,-0.22131366340131237,-0.18574680590849912,-0.16027351630424472,-0.060126971669342034,-0.23834222237392932,-0.04658858465123921
2006-06,-0.06235168449021584,-0.07785253807479953,-0.09306337042278075,-0.06762390365982046,-0.07971079531332532,-0.04460832120058689,0.010627286870592645,-0.005967005323870999,-0.050887671170397705,0.0034632265023875185
2006-07,-0.0963699574974561,-0.03164070155168305,-0.0406143185363476,-0.09370766205822803,-0.04899048007786507,0.019151723834124446,-0.01666386254852304,-0.06672516883306243,-0.08606993118829723,-0.05512319546332689
2006-08,-0.013966307124973019,-0.1308824716064274,0.008283363730418476,0.0031534242117500734,-0.009553873237650914,0.015329833349654867,0.04909579531949825,5.114165345259471e-05,-0.029879671667295927,-0.02944759810492398
2006-09,-0.08015391187801045,-0.03131749348174979,-0.11695085005534528,-0.10581208388333758,-0.11592471858977445,-0.05695250607282819,-0.07999973386792102,-0.06919492144032366,-0.03365948332754332,0.015646644870585667
2006-10,0.2499476350715928,0.0718743555106455,0.19497255389910878,0.22688345790700204,0.2246110572468663,0.17316121016779656,0.12108872689723922,0.005941178970693875,0.16734256808308345,0.005413454523773016
2006-11,0.25231638450881816,-0.054408843092185584,0.2610319182833022,0.27678296771974037,0.23411495609588942,0.21001467156483272,0.1652073347411481,-0.020628300857558485,0.20745557328486444,-0.06425723718580456
2006-12,0.12730682998122075,-0.07513833021956376,0.06107387904765457,0.11397502962058781,0.0536032577680119,0.10725006635724221,0.11355005847409382,-0.005798287118855498,0.12094582294533847,-0.029493033681085804
2007-01,-0.19534589936930796,-0.14791342125827134,-0.09972689417927845,-0.1379109864925244,-0.0934500378873189,-0.1451679950341932,-0.06811376242835142,-0.08893026275800534,-0.1911964321242814,-0.05714915497784665
2007-02,-0.2802951799195988,-0.04214591590738068,-0.1265768441706736,-0.19995539588669248,-0.1531212979522489,-0.16051568244330053,-0.17910086650440207,-0.19690044725272893,-0.22565889801049782,-0.13897844147762767
2007-03,-0.25852354544040906,-0.0727050411273688,-0.2483423885761425,-0.21436754150556592,-0.2612104694737086,-0.14633070922438685,-0.18411865565612348,-0.13222874295638698,-0.17506193263946992,-0.10192884834697896
2007-04,-0.2713381015463692,-0.14101120962315053,-0.23268102273734068,-0.24817208146521508,-0.22263345358573533,-0.10493276807433229,-0.21050606442837036,-0.0868319644378952,-0.08583758121188793,-0.12184824610969337
2007-05,0.018117471624647812,-0.09059831843261333,0.011393272534286568,0.03179235148588363,0.010549467813160915,0.005241944330289694,0.05501068578072745,-0.1157793644199807,0.0005314480608630561,-0.09605971242271692
2007-06,0.3481357920656769,-0.057350898351262905,0.21083847280969198,0.24722438094969648,0.2062759997777034,0.10766645849184854,0.1515791874059563,0.08496536521741807,-0.03298325307899641,0.05239963838082916
