ym,revenue_yoy,net_profit_yoy,profit_accel,buf_quality,cf_np_ratio,peg_np,ret120,dist250h
2006-01,,,,,,,,
2006-02,,,,-0.24646401524681025,,,,
2006-03,,,,0.23923971254813864,,,,
2006-04,0.15238270192219905,0.1366072077588944,,0.12279164640360103,0.08788447944752781,0.04461895603526454,,
2006-05,-0.13039146159419027,-0.1493089465648168,,-0.060126971669342034,-0.027032350950275244,-0.2341815366894294,,
2006-06,-0.0597589017369636,-0.009610820377305955,,-0.005967005323870999,-0.04488778217147671,-0.09306337042278075,,
2006-07,-0.0989423224095984,-0.040599892676796284,,-0.06672516883306243,0.010582716094276315,-0.0406143185363476,,
2006-08,0.038867951479146984,0.09773140904188048,,5.114165345259471e-05,-0.0468249089900112,0.008283363730418476,,
2006-09,-0.12479244929567894,-0.11982364633818388,,-0.06919492144032366,-0.07137733291414268,-0.11695085005534528,,
2006-10,0.08717827475973278,0.0590194148907874,,0.005941178970693875,0.046106020068157276,0.19497255389910878,,
2006-11,0.1471029319542028,0.19411220226844506,,-0.020628300857558485,0.052486840840536585,0.2610319182833022,,
2006-12,0.08533375953284073,0.11536542948607459,,-0.005798287118855498,0.08053117928715206,0.06107387904765457,,
2007-01,-0.039030360572532494,-0.07432511996700786,,-0.08893026275800534,0.018943417228390547,-0.09972689417927845,0.3434483051539646,0.3881305016044157
2007-02,-0.1007183311714168,-0.1955272410979205,,-0.19690044725272893,-0.02798773062912704,-0.1265768441706736,0.10539082569501265,0.6326239878767949
2007-03,-0.16021589361468602,-0.19905881717797042,,-0.13222874295638698,-0.02229950019286816,-0.2483423885761425,0.29439181776823575,0.34946120178071083
2007-04,-0.08180920178977956,-0.12040510457523135,-0.057403396160458954,-0.0868319644378952,0.04955427562069191,-0.23268102273734068,0.6462133735615411,0.5366776389918371
2007-05,0.012702160580798325,0.03076541394161441,-0.010317927807568399,-0.1157793644199807,0.03971975343860629,0.011393272534286568,0.37732386780848476,0.6235120479935815
2007-06,0.09267732482992576,0.11220446840829124,-0.038312526480429474,0.08496536521741807,-0.008613558885986625,0.21083847280969198,0.3995027333011925,0.9381711764146102
2007-07,-0.026912154291144946,-0.06968259421971129,-0.03743531901871842,-0.08023978900726243,-0.020159809764659163,-0.08856609956259659,0.20618882417706091,0.1009902346364544
2007-08,-0.02321405354579247,-0.037294849388965864,0.0007081438558180986,-0.11925335842481657,0.012310521631561405,0.06334666861596279,0.28457956306989457,0.4873714931444623
2007-09,-0.06443207578177794,-0.07491172834972686,-0.05421957798816885,-0.0727097052436902,0.06083929438032825,-0.04365712098385077,0.36180706066260526,0.6284576047788946
2007-10,0.09304304493870448,0.1005586743874578,-0.01682182595296981,0.03323339373430086,0.001872534885141569,0.24255988150286872,0.5040861657791973,0.7365232675994255
2007-11,-0.0826634878359256,-0.09262585050836346,-0.02177860086739057,0.04261045543294646,-0.060565594049149546,-0.23163969287953487,-0.08165634248640333,0.3239686339235207
2007-12,0.019391433359155875,0.010474398677275431,-0.012305300094412774,0.06036857068410925,-0.030664913612955667,0.00730163692406434,0.22820782386422972,0.3577712444233899
2008-01,-0.02687862087965344,-0.08500894975421674,-0.08065150858343642,-0.023977493642220137,0.04530069244013099,-0.06151469309520345,0.35749888832508026,0.5760224499619191
2008-02,-0.04672818950109722,-0.06872032920158382,0.01849043281195047,-0.03019484754829352,-0.016066411053724246,-0.1680389470516189,0.365363292416413,0.4709918434801822
