year,return
2006,0.4073761423150881
2007,1.2729628786733853
2008,-0.40522763085671765
2009,1.2965557849153222
2010,0.256751000628467
2011,-0.2177578748286917
2012,0.0461324610541034
2013,0.4463037430611376
2014,0.2952687937920613
2015,1.059612909295565
2016,0.00852495938162412
2017,-0.08586905536349143
2018,-0.06380818343453165
2019,0.4088425570287735
2020,0.1575563438329144
2021,0.34877996216746787
2022,0.04512941398302406
2023,0.09804118770498471
2024,0.18960342670181696
2025,0.2643797405013877
2026,-0.013931464310352526
