year,return
2006,0.3419000788188806
2007,1.4648052955988677
2008,-0.14372338181983468
2009,0.4707901056519259
2010,0.27236978957262004
2011,-0.10670954478012751
2012,0.016668243199842392
2013,0.4158949968022252
2014,0.42419660959586003
2015,0.8774950352383215
2016,0.01986106907431129
2017,-0.03567650667160793
2018,-0.025090529055670996
2019,0.08622027524764442
2020,0.10685892264170138
2021,0.1542325356231673
2022,-0.03712575323718548
2023,0.13969522944348278
2024,0.053914328774366194
2025,0.42868074534730116
2026,0.054331725470317505
