date,nav,num_held
2020-01-17,16.316308429043193,20
2020-01-20,16.47611102772559,20
2020-01-21,16.302376117789752,20
2020-01-22,16.119100681687392,20
2020-01-23,15.580195171967151,20
2020-02-03,14.17451232969893,20
2020-02-04,14.228172551723562,20
2020-02-05,14.665317711027942,20
2020-02-06,15.107739842840516,20
2020-02-07,15.3526368178304,20
2020-02-10,15.553722470632309,20
2020-02-11,15.502710767303128,20
2020-02-12,15.819190989910828,20
2020-02-13,15.55781006277773,20
2020-02-14,15.348884431961178,20
2020-02-17,15.852596806809645,20
2020-02-18,16.127737568984323,20
2020-02-19,16.116074933828795,20
2020-02-20,16.291879611508758,20
2020-02-21,16.33085294283348,20
2020-02-24,16.628192796189627,20
2020-02-25,16.564594552187017,20
2020-02-26,16.33076009011922,20
2020-02-27,16.462828730612568,20
2020-02-28,15.42691823498704,20
2020-03-02,16.1004349262815,20
2020-03-03,16.17811966993758,20
2020-03-04,16.352091279125535,20
2020-03-05,16.781182444392257,20
2020-03-06,16.669899786375403,20
2020-03-09,16.217220474363696,20
2020-03-10,16.394835851182076,20
2020-03-11,16.37114277650239,20
2020-03-12,15.958109940542013,20
2020-03-13,15.730421513968642,20
2020-03-16,15.213971697308722,20
2020-03-17,15.058810305688093,20
2020-03-18,14.842788000989776,20
2020-03-19,14.988233322551867,20
2020-03-20,15.235438295998973,20
2020-03-23,14.781763711776474,20
2020-03-24,14.9355128623575,20
2020-03-25,15.177523980847411,20
2020-03-26,15.07552191088915,20
2020-03-27,15.07653583215862,20
2020-03-30,14.755662496563016,20
2020-03-31,14.997540083710748,20
2020-04-01,14.960548504603045,20
2020-04-02,15.269672817430788,20
2020-04-03,15.310705658623636,20
2020-04-07,15.719631551903365,20
2020-04-08,15.803494341696538,20
2020-04-09,15.958243360029027,20
2020-04-10,15.754879719918799,20
2020-04-13,15.665979425675642,20
2020-04-14,15.803772274024965,20
2020-04-15,15.82471591107434,20
2020-04-16,15.804954142620982,20
2020-04-17,15.863171005834449,20
2020-04-20,15.986399753600276,20
2020-04-21,15.920056207974573,20
2020-04-22,16.056228698166407,20
2020-04-23,16.122380592727602,20
2020-04-24,15.930986099954472,20
2020-04-27,16.07208660979386,20
2020-04-28,15.814496650844726,20
2020-04-29,15.890279456124649,20
2020-04-30,16.21518015230041,20
2020-05-06,16.335720314068357,20
2020-05-07,16.307356973079035,20
2020-05-08,16.55680513299878,20
2020-05-11,16.50534986812983,20
2020-05-12,16.55735843742799,20
2020-05-13,16.710785292047163,20
2020-05-14,16.577084022876846,20
2020-05-15,16.61646755584715,20
2020-05-18,16.690996770018543,20
2020-05-19,16.962837544522415,20
2020-05-20,16.76932539749465,20
2020-05-21,16.73850062846746,20
2020-05-22,16.374279476970624,20
2020-05-25,16.371283002926152,20
2020-05-26,16.69693282519561,20
2020-05-27,16.678914532059366,20
2020-05-28,16.58006038195404,20
2020-05-29,16.627488271983793,20
2020-06-01,17.226520701219844,20
2020-06-02,17.475179873678243,20
2020-06-03,17.4531846199286,20
2020-06-04,17.604884318902773,20
2020-06-05,17.619603849855,20
2020-06-08,17.644632519988672,20
2020-06-09,17.712196933923522,20
2020-06-10,17.83573493416856,20
2020-06-11,17.750456243285555,20
2020-06-12,17.713873977822445,20
2020-06-15,17.504916566575982,20
2020-06-16,17.835992509976123,20
2020-06-17,17.844322982256738,20
2020-06-18,17.776509056531253,20
2020-06-19,17.883652546741292,20
2020-06-22,17.844474542303058,20
2020-06-23,17.82827872679217,20
2020-06-24,17.809267533138026,20
2020-06-29,17.68200572666019,20
2020-06-30,17.89956590404892,20
2020-07-01,17.93403820663251,20
2020-07-02,18.21976954793629,20
2020-07-03,18.32506451921357,20
2020-07-06,19.032630296794906,20
2020-07-07,19.03196779710532,20
