ym,market_cap_log,circ_mv,float_ratio,mv_volatility_60d,avg_amount_20d,turnover_rate,amihud_illiquidity,amount_cv,zero_volume_ratio,log_amount_60d,turnover_rate_60d,amihud_60d,amount_cv_60d,turnover_std_20d,amount_ratio_10_60,volume_slope_20d,turnover_chg_20_60,vp_corr,volume_surge,up_down_volume_ratio,obv_factor,vr,mfi,tail_volume_ratio,vp_corr_60d,obv_slope_60d,vol_surge_5d,vwap_slope_20d,volatility_20d,volatility_60d,idiosyncratic_vol,volatility_120d,downside_vol_20d,return_skew_60d,return_kurt_60d,atr_ratio_20d,gk_vol_20d,vol_ratio_20_60,max_drawdown_20d,max_drawdown_60d,max_drawdown_120d,max_drawdown_250d,dd_current,dd_area_120d,dd_duration_120d,return_5d,return_10d,return_20d,return_60d,return_120d,return_250d,mom_3_1,mom_6_1,mom_12_1,mom_accel,price_52w_pos,rsi_14,macd_hist_norm,boll_pos_20,ma5_ma20_ratio,ma20_ma60_ratio,roe,roa,roe_ttm,roa_ttm,net_profit_margin,gross_profit_margin,revenue_growth_yoy,profit_growth_yoy,debt_to_asset,ocf_to_asset,div_yield_ttm
2006-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,0.0504429183052183,0.08417334181012848,0.05289717111529042,-0.07517640681690665,0.08216663533855814,-0.06410815463007712,-0.0948743066429845,-0.06035532974944886,,0.12247906672958228,-0.025006357086673897,-0.12879228875277757,-0.02783955612023025,-0.08909809241369979,-0.16582699262616737,-0.15810818167765178,-0.07806861875731182,-0.10955509525348991,-0.1097137346962054,-0.07468348968089537,-0.06450970317381512,0.030021005406788644,-0.11359376088341286,,0.020703533845897477,-0.03994183806274448,-0.16484994751048404,0.02696928476644763,-0.013215703857658337,-0.029960785198244893,-0.036548257874463426,0.019781107058893316,0.09829792449743573,0.007398827707287947,0.06341579125406129,0.06421251421887078,-0.003055825466103823,0.011726907699522577,0.19608794142741237,0.14824285495651512,0.1527457242813481,0.15005395841613473,0.15005395841613473,-0.008049321860523172,-0.055183306396255356,-0.21102248757420033,-0.16998947522064017,-0.1660139281341774,-0.13000858074183658,-0.04212923611060963,,-0.04481130100474937,0.01785154127663648,,0.06262523621708073,-0.15005395841613473,-0.1757057097406053,-0.18471754566280305,-0.17926826873250887,-0.14332187489900833,-0.0368278689470122,0.08523211659774362,0.08385251064557839,0.07913264223027187,0.08466291701088118,0.11510627747248878,,0.0880993423345759,0.07573993792833605,-0.07864503151881935,-0.05155128372529995,0.11681214039203384
2006-08,-0.13933092867098684,-0.21291284983464895,-0.1116079166809504,-0.09253137015615619,-0.24668340241839493,-0.12875614510343106,0.20950853063237146,-0.0469470575685209,,-0.22337864489227938,-0.10769935682369267,0.1999890170603537,-0.061552226343597985,-0.12297830630251401,-0.10264499958391463,-0.10086042872890501,-0.018240884614606778,-0.1026910305342681,-0.1419843517133171,-0.03595927881283663,-0.07609010953707261,-0.060482813060250794,-0.044662329964056224,,-0.08176464549422889,-0.07967619566441672,-0.11922417519103562,-0.023173215963069125,-0.09246669323222446,-0.05355504238547256,-0.012164396011763475,-0.0388719667571637,-0.01890394017806387,0.01721066641276227,-0.08109934292791453,-0.05392669214374734,-0.04245169416620766,-0.04935044352439904,0.10290476653039025,0.09392650067410076,0.0966385838075759,0.09844351505370932,0.09844351505370932,0.11396969833530818,0.14391247928859932,-0.16242855196161765,-0.06060246901999434,-0.11844412346849084,-0.11489045043836509,-0.10858999170057083,,-0.05365958480298512,-0.09233331597608661,,-0.07141148405314748,-0.09844351505370932,-0.050350999835363834,-0.011305963846303783,-0.11564472541127593,-0.03538941890842436,-0.07049245190722615,-0.1683144444841327,-0.10033215099398365,-0.1073348949705027,-0.10066181381894466,-0.1258117920442032,,-0.04974624330112343,-0.06495343467532816,0.08684450672343474,-0.038852433422274846,-0.13371148398814792
2006-09,0.009750602543152149,0.03228162762433275,0.014444516569564808,-0.1254724707738172,-0.005318560703504872,-0.2748193017617365,-0.07560716415759133,-0.09487704338092262,,0.05562646795753428,-0.2040488746278303,-0.12389392164867022,-0.05726597869604544,-0.25970221953269546,-0.16079667812502718,-0.07089597823958942,-0.1435190153663089,-0.1391614221696009,0.013150578490410774,-0.0821901341512987,-0.12093178327241678,-0.06622385057813673,-0.08286658980071888,,-0.10568533807804548,-0.11309846252257696,-0.06615321626240232,-0.13549589634909884,-0.24558286037832036,-0.23381603776457474,-0.20638087333072513,-0.22951032282255376,-0.1614660360586087,-0.03726758147741078,0.07946325985826493,-0.2785736501982864,-0.27096936510216535,-0.07899114833478214,0.03569908811096362,0.01502489172063797,-0.005750778042207886,-0.007203655051105079,-0.007203655051105079,-0.12243229294474332,-0.01541656183481625,-0.09391115692204718,-0.1539393545316487,-0.17017911825435014,-0.041406991876078686,-0.09057739497508195,,0.019498267802433016,-0.037820420342009095,,-0.056097908763720374,0.007203655051105079,-0.09517790383483442,-0.12232084340953621,-0.10289463873381334,-0.17805137639869845,-0.08681974950988348,0.2660254413585039,0.23797645995744596,0.25716920957608713,0.22170108048345435,0.14343032849320064,,0.14535829524886412,0.0903623526585856,-0.00022318788993992797,0.15946190046068287,0.22738230192796247
2006-10,0.2860600726443404,0.30010927179238006,0.040294506488458455,0.07230567877090843,0.36697642535991887,-0.21544307612780622,-0.4286532980207321,-0.15671939103393356,,0.40584054971928574,-0.2002770728251806,-0.43946277864503624,-0.13804509893742503,-0.23308950640382578,0.00393605570959448,0.08512114613418083,-0.09390078862730153,-0.039032393182381664,0.19840304982630902,-0.012123589354591723,-0.035722783423973295,-0.04923512510841932,0.05256741681646801,,-0.0753456229260419,-0.0718561939173972,0.18806456656258178,-0.09330371837541875,-0.09921259752708533,-0.1106640366710579,-0.07514536024870572,-0.0745568644545073,-0.1935448406470066,0.1568089839567294,0.017239237353234408,-0.10197994593689885,-0.07923500565884666,-0.023033620222366803,-0.17607712188902305,-0.13556448424083614,-0.12135655118634896,-0.12165554112165547,-0.12165554112165547,-0.05578935765409454,-0.010830900789326182,0.143637833964637,0.17609309951298266,0.059993485254352635,0.10040661664505585,-0.0071137798685811425,,0.08537877516123148,-0.0005807857420186424,,-0.025890140434991087,0.12165554112165547,0.12474260137173876,0.16939322023239292,0.13193620916635818,0.14559043442456332,-0.011838838814820745,0.29862217973918376,0.2865922579634379,0.3488636411061917,0.30401850231823424,0.29277341223275133,,0.08084050651809506,0.14694097364268202,0.013826850059849809,0.16363608740140534,0.23492841836335224
2006-11,0.14962919940102573,0.15897747714355218,0.02296367495265207,0.05781642597776209,0.22148094394536838,-0.04126989710316878,-0.21764309818115504,0.007788977792215632,,0.19099168335011374,-0.17862913580976225,-0.2095021054371172,-0.07843737927948667,-0.0415062515411131,0.1898882096115069,-0.0801988613213777,0.1825186754736392,0.00027520148621764317,-0.05317943772655147,0.03197586922912214,0.06224098766552627,0.08992608191619643,0.0726851325003815,,-0.018720543219874212,0.057821347025883575,-0.058325184478847325,0.25837912572614424,0.05532105879177272,0.000647082436056725,-0.006810087431002707,-0.09733750214245124,-0.1235881349248436,0.14352161776287964,0.004765996242616549,0.028090702041671207,0.047606649719623036,0.09885655166617029,-0.14029959064117528,-0.27828055874850965,-0.28039528178734485,-0.2714407371680086,-0.2714407371680086,-0.16184378771874056,-0.11348202165157882,0.06396301246535366,0.12498929805933845,0.18577154014094935,0.24173577511166494,0.1405653681840609,,0.14999809271561168,0.05467603171181078,,0.00501511132966839,0.2714407371680086,0.16171315017645416,-0.026997364653090862,0.1533313174746582,0.14266653128251672,0.2767061175680949,0.18745279079354635,0.22179530226622277,0.22827819869873767,0.19855861449277304,0.13693002465869183,,0.11280069032637863,0.0939381580037471,-0.014802608114201875,0.15106916679607094,0.13882326109842608
