date,nav,num_held
2011-01-04,0.9996392298153501,0
2011-01-05,1.0016377719435503,30
2011-01-06,0.9963714092697434,30
2011-01-07,0.9858181857284277,30
2011-01-10,0.9576466995142628,30
2011-01-11,0.9422869308502335,30
2011-01-12,0.9479713119027178,30
2011-01-13,0.9510455633446795,30
2011-01-14,0.9229855241289969,30
2011-01-17,0.8821093731471535,30
2011-01-18,0.8834218538543573,30
2011-01-19,0.8988158278141988,30
2011-01-20,0.8672381967917427,30
2011-01-21,0.8693275639471898,30
2011-01-24,0.85609364472018,30
2011-01-25,0.8460888465240245,30
2011-01-26,0.8564604273423932,30
2011-01-27,0.8684420532818472,30
2011-01-28,0.876405430177187,30
2011-01-31,0.8803195347789926,30
2011-02-01,0.8824548177652517,30
2011-02-09,0.8718401559421344,30
2011-02-10,0.9024091690297841,30
2011-02-11,0.9115942890162959,30
2011-02-14,0.9269317207591985,30
2011-02-15,0.9274313631571154,30
2011-02-16,0.9436592210798257,30
2011-02-17,0.9518860549601115,30
2011-02-18,0.9385833597534474,30
2011-02-21,0.9525385323771771,30
2011-02-22,0.9290692406272365,30
2011-02-23,0.9379646053270727,30
2011-02-24,0.937733439770197,30
2011-02-25,0.9360313643920486,30
2011-02-28,0.9419054108275549,30
2011-03-01,0.94860570029204,30
2011-03-02,0.9432284749671105,30
2011-03-03,0.9263732108528667,30
2011-03-04,0.9312148371469704,30
2011-03-07,0.9370487223406859,30
2011-03-08,0.9419388652329399,30
2011-03-09,0.9422219668793889,30
2011-03-10,0.9446432949617671,30
2011-03-11,0.9483261601126376,30
2011-03-14,0.9537443135253575,30
2011-03-15,0.9418605255794471,30
2011-03-16,0.9517395522116885,30
2011-03-17,0.9305555147835205,30
2011-03-18,0.9369408890143511,30
2011-03-21,0.9282343615118148,30
2011-03-22,0.9248753555716477,30
2011-03-23,0.9359697922892855,30
2011-03-24,0.9338733692802679,30
2011-03-25,0.9351179809664449,30
2011-03-28,0.9301825911933502,30
2011-03-29,0.9014248814338992,30
2011-03-30,0.8974257549590173,30
2011-03-31,0.8945921091796363,30
2011-04-01,0.9025224583174415,30
2011-04-06,0.893429360878364,30
2011-04-07,0.9020891426684345,30
2011-04-08,0.9160197525647943,30
2011-04-11,0.9008862611615458,30
2011-04-12,0.8933672800492746,30
2011-04-13,0.9087407481831956,30
2011-04-14,0.9051170940009999,30
2011-04-15,0.9061215258475325,30
2011-04-18,0.9044578746893572,30
2011-04-19,0.9012015343703448,30
2011-04-20,0.913314013783558,30
2011-04-21,0.9189686666719054,30
2011-04-22,0.9164327580816634,30
2011-04-25,0.8950552290158312,30
2011-04-26,0.878319005490212,30
2011-04-27,0.8639388288136586,30
2011-04-28,0.8349105319707892,30
2011-04-29,0.8457605490799736,30
2011-05-03,0.8550275138745597,30
2011-05-04,0.83590264895907,29
2011-05-05,0.8387980278429354,29
2011-05-06,0.8449368015407361,29
2011-05-09,0.8540695420038491,29
2011-05-10,0.8577431686017369,29
2011-05-11,0.8582006773661732,29
2011-05-12,0.8387387031102483,29
2011-05-13,0.8409444965789431,29
2011-05-16,0.838617082790264,29
2011-05-17,0.8365488980274352,29
2011-05-18,0.838435269207563,29
2011-05-19,0.8358297514565739,29
2011-05-20,0.8265692513034948,29
2011-05-23,0.7960378893756704,29
2011-05-24,0.8055594844288051,29
2011-05-25,0.7859975506679957,29
2011-05-26,0.7766807243453713,29
2011-05-27,0.7645353372812503,29
2011-05-30,0.7658106907279727,29
2011-05-31,0.7764565878618772,29
2011-06-01,0.7844681261320158,29
2011-06-02,0.7765440956111868,29
2011-06-03,0.7898227635578338,29
2011-06-07,0.7957970472571979,29
2011-06-08,0.7913870217827914,29
2011-06-09,0.776756620776512,29
2011-06-10,0.7721759071627864,29
2011-06-13,0.7758159031530429,29
2011-06-14,0.7875901342909748,29
2011-06-15,0.778777717748584,29
2011-06-16,0.7680987117041238,29
2011-06-17,0.7610640951166064,29
2011-06-20,0.7572162284863485,29
2011-06-21,0.7636672908132133,29
2011-06-22,0.7669391814145695,29
2011-06-23,0.7869898203442831,29
2011-06-24,0.8037932500150081,29
2011-06-27,0.8123329115380844,29
2011-06-28,0.8142416743975909,29
2011-06-29,0.8054640735039565,29
2011-06-30,0.8135415567718904,29
2011-07-01,0.8200086191408357,29
2011-07-04,0.8361473280626518,30
2011-07-05,0.8398889922035447,30
2011-07-06,0.8513145988482156,30
2011-07-07,0.8585766141223737,30
2011-07-08,0.8486350846295299,30
2011-07-11,0.8542028771575735,30
2011-07-12,0.8324944907881402,30
2011-07-13,0.8527494576116644,30
2011-07-14,0.8760509637226738,30
2011-07-15,0.8899922143601074,30
2011-07-18,0.8867864860964252,30
2011-07-19,0.8701305554504599,30
2011-07-20,0.880479766445394,30
2011-07-21,0.8714870343908573,30
2011-07-22,0.8746381712081357,30
2011-07-25,0.8377432312873243,30
2011-07-26,0.8413241046543182,30
2011-07-27,0.8633288415845329,30
2011-07-28,0.8745900423779916,30
2011-07-29,0.8652915468285559,30
2011-08-01,0.8745739631127764,30
2011-08-02,0.8864239970068617,29
2011-08-03,0.8989308538488835,29
