year,return
2006,0.14950727895995475
2007,0.38024355770318996
2008,-0.15310100291083495
2009,0.37707463022601617
2010,0.11493334241026187
2011,-0.14612329631677035
2012,0.00529556085747096
2013,0.29826767591868486
2014,0.246440238108659
2015,0.7204420700213077
2016,-0.00011740323711617595
2017,-0.06284193522473824
2018,-0.033835708865201264
2019,0.19989873205737974
2020,0.10780729668017197
2021,0.1844995620223462
2022,0.03662463244611103
2023,0.04532590792327129
2024,0.07857974208448315
2025,0.1410491505198881
2026,-0.0051979251606008026
