date,nav
2006-01-04,1.0
2006-01-05,1.0
2006-01-06,1.0
2006-01-09,1.0
2006-01-10,1.0
2006-01-11,1.0
2006-01-12,1.0
2006-01-13,1.0
2006-01-16,1.0
2006-01-17,1.0
2006-01-18,1.0
2006-01-19,1.0
2006-01-20,1.0
2006-01-23,1.0
2006-01-24,1.0
2006-01-25,1.0
2006-02-06,0.9994317133545111
2006-02-07,1.0073368803947016
2006-02-08,1.0161392812933436
2006-02-09,1.0000768901602755
2006-02-10,1.015125225548048
2006-02-13,1.0296580233742327
2006-02-14,1.0293607182282871
2006-02-15,1.0182340454341214
2006-02-16,0.9759404824296559
2006-02-17,0.9718863770923929
2006-02-20,0.9650076847366001
2006-02-21,0.9820004820954451
2006-02-22,0.9797597788378141
2006-02-23,0.9761518411489116
2006-02-24,0.991489547560096
2006-02-27,0.9838733833168992
2006-02-28,0.9759196595513574
2006-03-01,0.9915469957648329
2006-03-02,0.9620003634449125
2006-03-03,0.9587782244235831
2006-03-06,0.9451307602027633
2006-03-07,0.9122342592008036
2006-03-08,0.9062011587782164
2006-03-09,0.9116222603107873
2006-03-10,0.922342001822859
2006-03-13,0.940803253469006
2006-03-14,0.9388814685036458
2006-03-15,0.9560583987019942
2006-03-16,0.955080695554774
2006-03-17,0.9470655626073179
2006-03-20,0.962465936907801
2006-03-21,0.9620301672525089
2006-03-22,0.9807836681306867
2006-03-23,0.9840543024136241
2006-03-24,0.9726899022395863
2006-03-27,0.9834166595043663
2006-03-28,0.9423273712339059
2006-03-29,0.9415144928784976
2006-03-30,0.9303462602186009
2006-03-31,0.943968793961366
2006-04-03,0.9598665232831572
2006-04-04,0.9806799981713896
2006-04-05,0.9904380267691203
2006-04-06,0.9893400133249558
2006-04-07,0.9826994262420874
2006-04-10,1.0273876345749444
2006-04-11,1.0402080725430147
2006-04-12,1.0280946486691915
2006-04-13,0.9855372569770379
2006-04-14,1.0211336718583717
2006-04-17,1.0363318260152659
2006-04-18,1.0230165272911333
2006-04-19,1.0275326687196042
2006-04-20,1.0026368615218078
2006-04-21,1.012822477064949
2006-04-24,0.994580646809667
2006-04-25,0.9843116193177543
2006-04-26,0.9982582125425803
2006-04-27,0.9938594675810247
2006-04-28,1.0019134611779794
2006-05-08,1.0121307386754514
2006-05-09,1.0228273765419285
2006-05-10,1.0281842749852073
2006-05-11,1.021040394050525
2006-05-12,1.0275826214086754
2006-05-15,1.0487441778961368
2006-05-16,1.0328890162436646
2006-05-17,1.0376650452889273
2006-05-18,1.0370996445680711
2006-05-19,1.04674482154564
2006-05-22,1.0523487100527305
2006-05-23,1.0285537335861248
2006-05-24,1.0202174912706177
2006-05-25,1.0266275680480865
2006-05-26,1.0335329013306997
2006-05-29,1.0408816238116811
2006-05-30,1.0479826893377995
2006-05-31,1.0503119874290154
2006-06-01,1.0647541738837694
2006-06-02,1.0612725772834553
2006-06-05,1.067315006061632
2006-06-06,1.0626403944695784
2006-06-07,1.0390605962219854
2006-06-08,1.0404645551423624
2006-06-09,1.033050529958956
2006-06-12,1.0352485588886382
2006-06-13,1.0384647464449166
2006-06-14,1.0344474579294858
2006-06-15,1.0368372763399663
2006-06-16,1.0462206298013101
2006-06-19,1.0502989268297682
2006-06-20,1.050548481850662
2006-06-21,1.049385476188469
2006-06-22,1.046124479792145
2006-06-23,1.048219338103085
2006-06-26,1.0546905962439492
2006-06-27,1.0540490039565098
2006-06-28,1.0524213928601434
2006-06-29,1.060681658518561
2006-06-30,1.0600131773187953
2006-07-03,1.0654340224245544
2006-07-04,1.061715483449454
2006-07-05,1.0592567939640631
2006-07-06,1.067648643570621
2006-07-07,1.067530794518091
2006-07-10,1.0707774265647438
2006-07-11,1.072700146396796
2006-07-12,1.0747907549136875
2006-07-13,1.0541379306430287
2006-07-14,1.0585622504212429
2006-07-17,1.0661911895889475
2006-07-18,1.066730948632179
2006-07-19,1.0597201774479874
2006-07-20,1.0606467696008275
2006-07-21,1.0620695682716244
2006-07-24,1.0593262259285416
