variant,code,buy_date,sell_date,days,ret,ann_ret,exit_action,status,group,buy_price,sell_price,mv_pct,dy_pct,roe,roa,vol20_pct,turnover20_pct,amount20_pct,amt_cv60_pct,ret120,ret120_pct,dist250h,is_delisted_code,st_snapshot
full,000672,2015-02-02,2015-04-01,58.0,0.255076,3.177736,SELL_REBAL,CLOSED,normal,4.566633,5.731473,0.160766,0.812229,0.367414,0.197302,0.321429,0.725888,0.366071,0.172414,0.347649,0.623557,-0.175077,0,0
full,000690,2006-09-01,2007-01-04,125.0,0.476891,2.122463,SELL_REBAL,CLOSED,normal,1.348775,1.991993,0.314917,0.656332,0.394322,0.123699,0.317073,0.376068,0.536585,0.930435,0.881092,0.956522,-0.151275,0,0
full,000707,2024-07-01,2024-10-08,99.0,0.181818,0.851334,SELL_REBAL,CLOSED,normal,6.84262,8.086732,0.459046,0.728254,0.313472,0.224509,0.31221,0.459042,0.31221,0.873832,-0.065728,0.520866,-0.251755,0,0
full,000707,2025-02-05,2025-05-06,90.0,-0.117143,-0.396669,SELL_REBAL,CLOSED,normal,6.803741,6.006731,0.356227,0.755448,0.281899,0.174806,0.055641,0.333849,0.160742,0.501562,0.159539,0.279753,-0.163648,0,0
full,000717,2020-08-03,2020-10-09,67.0,-0.084416,-0.381497,SELL_REBAL,CLOSED,normal,4.165808,3.814149,0.758638,0.918111,0.236754,0.116625,0.188742,0.264559,0.519868,0.83,0.042381,0.367003,-0.120482,0,0
full,000731,2006-08-01,2006-09-01,31.0,0.113449,2.544104,SELL_REBAL,CLOSED,normal,5.083303,5.659999,0.55959,0.930715,0.23275,0.147959,0.627119,0.842105,0.872881,0.061404,0.630523,0.713043,-0.047695,0,0
full,000731,2006-10-09,2006-11-01,23.0,-0.015224,-0.216091,SELL_REBAL,CLOSED,normal,5.804173,5.715809,0.548858,0.932409,0.225212,0.140262,0.113821,0.125,0.520325,0.264957,0.423521,0.808696,-0.047988,0,0
full,000731,2023-05-04,2023-07-03,60.0,-0.032028,-0.179653,SELL_REBAL,CLOSED,normal,7.640885,7.396159,0.526543,0.815346,0.164661,0.140209,0.120556,0.448758,0.381988,0.161137,-0.052257,0.392248,-0.269231,0,0
full,000779,2021-09-01,2021-11-01,61.0,-0.099129,-0.464548,SELL_REBAL,CLOSED,normal,8.817665,7.943583,0.179791,0.827773,0.161797,0.10177,0.025197,0.168504,0.029921,0.900158,-0.07572,0.307692,-0.235786,0,0
full,000789,2015-05-04,2015-07-01,58.0,-0.133518,-0.594199,SELL_REBAL,CLOSED,normal,5.680052,4.921661,0.337354,0.997065,0.219815,0.106325,0.111828,0.269231,0.443011,0.16044,0.562199,0.236902,-0.096923,0,0
full,000848,2008-05-05,2008-06-02,28.0,-0.039123,-0.405625,SELL_REBAL,CLOSED,normal,2.52037,2.421765,0.164062,0.99243,0.198601,0.122299,0.090909,0.047904,0.149733,0.835165,-0.011993,0.682081,-0.330442,0,0
full,000848,2009-05-04,2009-07-01,58.0,0.028027,0.189996,SELL_REBAL,CLOSED,normal,1.712457,1.760452,0.083221,0.991392,0.180795,0.136012,0.014423,0.296296,0.514423,0.116505,0.093174,0.024038,-0.354233,0,0
full,000848,2015-05-04,2015-06-01,28.0,0.230866,13.99548,SELL_REBAL,CLOSED,normal,8.267881,10.176651,0.601528,0.978616,0.373553,0.296004,0.098925,0.235577,0.701075,0.01978,0.28368,0.05467,-0.050776,0,0
full,000848,2016-05-03,2016-06-01,29.0,-0.028652,-0.306423,SELL_REBAL,CLOSED,normal,6.586876,6.398146,0.674981,0.892871,0.320349,0.266466,0.445833,0.553991,0.866667,0.745182,-0.164138,0.515856,-0.476101,0,0
