date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out
2006-01-04,0,0,,,,
2006-02-06,2,2,000933|600428,000933|600428,,
2006-03-01,2,2,000933|600428,000933|600428,,
2006-04-03,2,2,000933|600428,000933|600428,,
2006-05-08,10,10,001696|002022|000937|000550|000933|002025|000155|600428|600096|000912,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,
2006-06-01,20,20,002050|001696|002022|600880|600436|600227|000937|000550|002025|600997|600761|600428|000155|000983|000069|600583|600096|000912|600418|600019,000069|000155|000550|000912|000937|000983|001696|002022|002025|002050|600019|600096|600227|600418|600428|600436|600583|600761|600880|600997,,000933
2006-07-03,30,30,002050|001696|002028|002010|002022|600436|600348|002041|600880|600227|000937|600123|000550|002025|000933|600997|000066|000155|600428|600761|000983|000069|600583|000970|600096|000912|600309|600026|600418|600362,000066|000069|000155|000550|000912|000933|000937|000970|000983|001696|002010|002022|002025|002028|002041|002050|600026|600096|600123|600227|600309|600348|600362|600418|600428|600436|600583|600761|600880|600997,,600019
2006-08-01,30,30,002050|600276|002010|002028|001696|002041|002022|600436|600348|600880|600227|000937|000731|600123|600596|002025|000933|600997|000550|000066|600188|000983|600012|600761|600428|000155|000538|000069|000970|000027,000027|000066|000069|000155|000538|000550|000731|000933|000937|000970|000983|001696|002010|002022|002025|002028|002041|002050|600012|600123|600188|600227|600276|600348|600428|600436|600596|600761|600880|600997,,600583|600096|000912|600418|600309|600026|600362
2006-09-01,4,4,600497|600809|600362|000792,000792|600362|600497|600809,,002050|002010|002028|001696|002041|002022|600436|600348|600880|600227|000937|600123|002025|000933|600997|000550|000066|000983|600761|600428|000155|000069|000970|600276|000731|600596|600188|600012|000538|000027
2006-10-09,4,4,600497|600809|600362|000792,000792|600362|600497|600809,,
2006-11-01,5,5,600497|600809|000088|600362|000792,000088|000792|600362|600497|600809,,
2006-12-01,5,5,600497|600809|000088|600362|000792,000088|000792|600362|600497|600809,,
2007-01-04,5,5,600497|600809|000088|600362|000792,000088|000792|600362|600497|600809,,
2007-02-01,4,4,600497|600809|000088|600362,000088|600362|600497|600809,,000792
2007-03-01,4,4,600497|600809|000088|600362,000088|600362|600497|600809,,
2007-04-02,4,4,002109|600497|600809|000088,000088|002109|600497|600809,,600362
2007-05-08,30,28,002108|002003|002100|002096|002101|002091|002090|002109|600527|600525|600547|002076|600971|600276|600348|002028|002010|600227|000987|600517|600880|002092|600271|600439|002036|000157|000937|000852|000551|600161,000157|000551|000937|000987|002003|002010|002028|002036|002076|002090|002091|002092|002096|002100|002101|002108|002109|600161|600227|600271|600348|600439|600517|600525|600527|600547|600880|600971,600276|000852,600497|600809|000088
2007-06-01,30,30,002108|002065|002003|002100|002115|002096|002101|002091|002099|002090|002056|002109|600547|002076|002061|600527|600525|002073|002069|002103|002010|600971|002028|002084|600276|600227|002092|002036|600348|000987,000987|002003|002010|002028|002036|002056|002061|002065|002069|002073|002076|002084|002090|002091|002092|002096|002099|002100|002101|002103|002108|002109|002115|600227|600276|600348|600525|600527|600547|600971,,600517|600880|600271|600439|000157|000937|000551|600161
2007-07-02,30,30,002108|002065|002107|002003|002091|002117|002115|002101|002099|002090|002111|002056|002109|002080|002104|002095|600527|002061|002076|002073|002103|600525|600971|002069|600547|002084|600227|002036|600880|002092,002003|002036|002056|002061|002065|002069|002073|002076|002080|002084|002090|002091|002092|002095|002099|002101|002103|002104|002107|002108|002109|002111|002115|002117|600227|600525|600527|600547|600880|600971,,002100|002096|002010|002028|600348|000987|600276
2007-08-01,30,30,002108|002063|002107|002117|002101|002096|002003|002115|002091|002099|002086|002090|002056|002109|002080|002076|002104|600527|002073|002061|002103|002069|002084|600971|600547|600227|600880|002036|000987|600348,000987|002003|002036|002056|002061|002063|002069|002073|002076|002080|002084|002086|002090|002091|002096|002099|002101|002103|002104|002107|002108|002109|002115|002117|600227|600348|600527|600547|600880|600971,,002065|600525|002092|002111|002095
2007-09-03,9,8,002064|600517|002019|600809|600497|001696|600012|600031|600028,001696|002019|002064|600028|600031|600497|600517|600809,600012,002108|002107|002117|002101|002003|002115|002091|002099|002090|002056|002109|002080|002076|002104|600527|002073|002061|002103|002069|002084|600971|600547|600227|600880|002036|002063|002096|002086|000987|600348
2007-10-08,9,9,002138|002064|600517|600809|001696|600497|600012|600031|600028,001696|002064|002138|600012|600028|600031|600497|600517|600809,,002019
2007-11-01,10,10,002138|002064|600517|600809|001696|002019|600012|600497|600031|600028,001696|002019|002064|002138|600012|600028|600031|600497|600517|600809,,
2007-12-03,10,10,002138|002064|600517|600809|001696|002019|600497|600012|600031|600028,001696|002019|002064|002138|600012|600028|600031|600497|600517|600809,,
2008-01-02,9,9,002138|002064|600517|600809|001696|600497|600012|600031|600028,001696|002064|002138|600012|600028|600031|600497|600517|600809,,002019
2008-02-01,9,9,002138|002064|600809|600517|002019|001696|600012|600031|600028,001696|002019|002064|002138|600012|600028|600031|600517|600809,,600497
2008-03-03,9,9,002138|002064|600809|600517|002019|001696|600012|600031|600028,001696|002019|002064|002138|600012|600028|600031|600517|600809,,
2008-04-01,11,11,002138|002153|002064|002019|600809|001696|600517|600012|600031|000612|600028,000612|001696|002019|002064|002138|002153|600012|600028|600031|600517|600809,,
2008-05-05,30,25,002063|002214|600845|002138|002153|002154|002165|002177|600993|002161|002003|002146|002111|600233|600525|600436|002064|002093|000338|600161|002069|000987|000903|002007|600420|600880|002019|600809|002172|600479,000338|000903|000987|002003|002007|002019|002063|002064|002111|002138|002146|002153|002154|002161|002165|002214|600233|600420|600436|600479|600525|600809|600845|600880|600993,002177|002093|600161|002069|002172,001696|600517|600012|600031|600028|000612
2008-06-02,30,30,002195|002176|002063|002130|002206|002138|002148|002175|600845|002192|002214|002179|002180|002199|002196|002197|002153|002165|002154|002170|002213|002177|002222|002151|002161|002003|002121|002204|002146|002111,002003|002063|002111|002121|002130|002138|002146|002148|002151|002153|002154|002161|002165|002170|002175|002176|002177|002179|002180|002192|002195|002196|002197|002199|002204|002206|002213|002214|002222|600845,,002064|002019|600809|600993|600233|600525|600436|000338|000987|000903|002007|600420|600880|600479
2008-07-01,30,30,002195|002176|002130|002206|002063|002223|002148|002175|002138|002192|002165|002179|002174|002180|002214|600845|002150|002199|002196|002153|002158|002197|002213|002170|002154|002188|002177|002132|002151|002222,002063|002130|002132|002138|002148|002150|002151|002153|002154|002158|002165|002170|002174|002175|002176|002177|002179|002180|002188|002192|002195|002196|002197|002199|002206|002213|002214|002222|002223|600845,,002161|002003|002146|002111|002121|002204
2008-08-01,30,30,002195|002176|002130|002178|002167|002206|002063|002148|002223|002138|002175|002192|002179|002174|002165|002180|002150|002214|002199|600845|002153|002196|002158|002154|002213|002197|002188|002177|002170|002222,002063|002130|002138|002148|002150|002153|002154|002158|002165|002167|002170|002174|002175|002176|002177|002178|002179|002180|002188|002192|002195|002196|002197|002199|002206|002213|002214|002222|002223|600845,,002151|002132
2008-09-01,14,14,002223|002124|002001|600547|002038|600188|600596|000612|600428|000983|600309|600026|601919|601857,000612|000983|002001|002038|002124|002223|600026|600188|600309|600428|600547|600596|601857|601919,,002195|002176|002130|002206|002063|002148|002138|002175|002192|002179|002174|002165|002180|002150|002214|002199|600845|002153|002196|002158|002154|002213|002197|002188|002177|002170|002222|002178|002167
