date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out
2008-10-06,14,14,002124|600547|600596|002223|002001|600428|000612|000718|000983|600309|600188|600026|601919|601857,000612|000718|000983|002001|002124|002223|600026|600188|600309|600428|600547|600596|601857|601919,,
2008-11-03,0,0,,,,002124|600547|600596|002223|002001|600428|000612|000983|600309|600188|601919|601857|000718|600026
2008-12-01,0,0,,,,
2009-01-05,0,0,,,,
2009-02-02,0,0,,,,
2009-03-02,0,0,,,,
2009-04-01,0,0,,,,
2009-05-04,0,0,,,,
2009-06-01,0,0,,,,
2009-07-01,0,0,,,,
2009-08-03,0,0,,,,
2009-09-01,6,6,002001|002215|600366|600588|600276|600809,002001|002215|600276|600366|600588|600809,,
2009-10-09,6,6,002001|002215|600588|600366|600276|600809,002001|002215|600276|600366|600588|600809,,
2009-11-02,0,0,,,,002001|002215|600588|600366|600276|600809
2009-12-01,0,0,,,,
2010-01-04,0,0,,,,
2010-02-01,0,0,,,,
2010-03-01,0,0,,,,
2010-04-01,0,0,,,,
2010-05-04,18,18,300015|300012|300033|300039|300008|300018|300037|300031|300046|300005|000848|300027|300001|300025|600188|300013|300024|601088,000848|300001|300005|300008|300012|300013|300015|300018|300024|300025|300027|300031|300033|300037|300039|300046|600188|601088,,
2010-06-01,20,20,300026|300015|300012|300043|300033|300009|300039|300058|300008|300054|300037|300018|300035|300047|300031|300048|300046|300017|300019|300002,300002|300008|300009|300012|300015|300017|300018|300019|300026|300031|300033|300035|300037|300039|300043|300046|300047|300048|300054|300058,,300005|000848|300027|300001|300025|600188|300013|300024|601088
2010-07-01,20,20,300026|300012|300043|300015|300058|300009|300008|300033|300039|300051|300054|300045|300035|300071|300032|300047|300048|300037|300041|300031,300008|300009|300012|300015|300026|300031|300032|300033|300035|300037|300039|300041|300043|300045|300047|300048|300051|300054|300058|300071,,300018|300046|300017|300019|300002
2010-08-02,20,20,300059|300026|002415|300012|002410|300015|300043|300066|300033|300009|300039|300008|300058|300051|300054|300032|300045|300037|300035|300048,002410|002415|300008|300009|300012|300015|300026|300032|300033|300035|300037|300039|300043|300045|300048|300051|300054|300058|300059|300066,,300047|300031|300071|300041
2010-09-01,3,3,002415|002063|000848,000848|002063|002415,,300026|300012|300015|300043|300033|300009|300039|300008|300058|300051|300054|300032|300045|300037|300035|300048|300059|002410|300066
2010-10-08,4,4,002415|300101|002063|000848,000848|002063|002415|300101,,
2010-11-01,20,20,002252|002415|002001|002236|000338|002273|002153|002285|000848|601101|000887|002242|002310|600166|002003|002152|600742|002385|002063|000650,000338|000650|000848|000887|002001|002003|002063|002152|002153|002236|002242|002252|002273|002285|002310|002385|002415|600166|600742|601101,,300101
2010-12-01,20,19,002252|002001|002415|002236|600323|002273|000338|002285|000895|601101|002153|000848|002242|002310|002003|002385|000887|002152|600166|600742,000338|000848|000887|002001|002003|002152|002153|002236|002242|002252|002273|002285|002310|002385|002415|600166|600323|600742|601101,000895,002063|000650
2011-01-04,20,20,002252|002001|002415|002236|600323|002285|002273|000848|000338|002242|002153|002003|002385|002310|600742|600166|002063|000887|002152|000650,000338|000650|000848|000887|002001|002003|002063|002152|002153|002236|002242|002252|002273|002285|002310|002385|002415|600166|600323|600742,,601101
2011-02-01,20,20,002252|002001|002236|002415|600323|002285|002273|000848|000338|002153|601101|002242|002310|002003|002385|600166|002152|600742|002063|000887,000338|000848|000887|002001|002003|002063|002152|002153|002236|002242|002252|002273|002285|002310|002385|002415|600166|600323|600742|601101,,000650
2011-03-01,20,20,002252|002001|002236|002415|600323|002285|002273|000848|002153|000338|002310|002242|002003|002385|600166|002152|002063|600742|000887|600517,000338|000848|000887|002001|002003|002063|002152|002153|002236|002242|002252|002273|002285|002310|002385|002415|600166|600323|600517|600742,,601101
2011-04-01,20,20,002252|300099|002236|002415|002001|002273|600323|002285|000848|300101|002153|002242|002003|002385|000338|002152|002063|600166|600742|000650,000338|000650|000848|002001|002003|002063|002152|002153|002236|002242|002252|002273|002285|002385|002415|300099|300101|600166|600323|600742,,002310|000887|600517
2011-05-03,0,0,,,,002252|002236|002415|002001|002273|600323|002285|000848|002153|002242|002003|002385|000338|002152|002063|600166|600742|300099|300101|000650
2011-06-01,0,0,,,,
2011-07-01,0,0,,,,
2011-08-01,3,3,002581|002591|601208,002581|002591|601208,,
2011-09-01,2,2,601208|600160,600160|601208,,002581|002591
