year,return
2006,0.20664152069721808
2007,0.9969611836091679
2008,-0.20550863166855993
2009,0.7070194516059678
2010,0.22490366094059477
2011,-0.1516104899165761
2012,0.004159326062395552
2013,0.24226707900606437
2014,0.312172853536798
2015,0.6425906976438336
2016,-0.008749162635306673
2017,-0.07010255640645757
2018,-0.0010233438106271864
2019,0.12731062392451964
2020,0.11602385027615525
2021,0.18652932698589542
2022,0.04583290459440659
2023,0.03708309563339118
2024,0.057669276330860386
2025,0.2282056400999699
2026,-0.035044597673720035
