year,div_yield_ttm,roe_ttm,roa_ttm,circ_mv
2006,0.009278149597219365,5.561073138060646e-05,-0.008713719550485123,0.016796977505160713
2007,0.002725376668601945,-0.06576703918662434,-0.06225143139747152,0.0614236843020724
2008,0.02566447735006057,-0.0360311374935784,-0.026569702305596066,0.09618249296245639
2009,0.008540437214331878,-0.0011600851482948564,-0.001737923146206419,0.09144830138132866
2010,-0.00622281838321286,-0.0010621871987561645,-0.006777272722499288,0.05500868090857535
2011,0.039964228869722625,0.00031248874560247004,-0.016532674321029162,-0.006693633320109836
2012,0.012704011312845924,0.018719795044687782,0.013805047042575727,0.05092815797006973
2013,0.056848441523668046,0.03079032894236965,0.0795234557833397,0.17652131504175186
2014,-0.004043403086915191,-0.060745654663014965,-0.07061501565821003,0.07575963614536092
2015,-0.005385161583581033,-0.0057768380332303025,0.013693380991210398,0.1662018270320947
2016,0.013757980287772704,-0.022783652066357376,-0.030424035036240322,0.07522579256914648
2017,0.08276454737450718,0.11167019520979123,0.07958393369980601,-0.0860339650028758
2018,0.054805635022771776,0.04122453821523915,0.036389653726487114,-0.0010412490088583342
2019,0.03115178000824663,0.025847354202801053,0.035536293256804526,0.01991357696336918
2020,0.06001465079067758,0.06139296675034809,0.05171639721824476,-0.027168358588497445
2021,0.02429407583078998,-0.05617536407856788,-0.05727357614686851,0.05916106099038016
2022,0.019339737035819534,-0.018406863793591726,-0.021877164422237787,0.029022538136945247
2023,0.044582411438056135,-0.03436413807731064,-0.033474029266210285,0.07452907980274341
2024,0.03440375315880532,0.03791268364271138,0.03694730705031237,0.015199674875365088
2025,0.002123477460711508,-0.01922727763434285,-0.013069768328277755,0.08659080049909658
2026,-0.003123552800040611,0.012021510931704036,0.013116168815561246,0.024771927503823742
