year,return
2006,0.36285664050796096
2007,0.852909483797512
2008,-0.30064479723055104
2009,0.9117115133542641
2010,0.2211047816123728
2011,-0.2681099220712261
2012,-0.007542253105713215
2013,0.4545305194344085
2014,0.35662508672242055
2015,1.006971280836816
2016,0.010339658851883815
2017,-0.17824134592459107
2018,-0.10384392191447112
2019,0.43975762096809
2020,0.11430379872314012
2021,0.43395407774685957
2022,0.0946088201310924
2023,0.10711823520017072
2024,-0.0025651223968365944
2025,0.3170525140004883
2026,0.02538878065228367
