2015-01-05,0.997025
2015-01-06,1.029035
2015-01-07,1.020250
2015-01-08,1.023946
2015-01-09,1.023721
2015-01-12,1.008745
2015-01-13,1.035645
2015-01-14,1.028632
2015-01-15,1.031605
2015-01-16,1.047716
2015-01-19,1.033993
2015-01-20,1.080799
2015-01-21,1.110426
2015-01-22,1.125973
2015-01-23,1.103454
2015-01-26,1.119485
2015-01-27,1.130290
2015-01-28,1.135680
2015-01-29,1.133472
2015-01-30,1.104077
2015-02-02,1.097303
2015-02-03,1.122366
2015-02-04,1.131826
2015-02-05,1.138772
2015-02-06,1.122099
2015-02-09,1.098465
2015-02-10,1.108521
2015-02-11,1.119783
2015-02-12,1.121104
2015-02-13,1.142899
2015-02-16,1.166279
2015-02-17,1.168370
2015-02-25,1.159370
2015-02-26,1.170894
2015-02-27,1.178133
2015-03-02,1.206524
2015-03-03,1.203758
2015-03-04,1.227707
2015-03-05,1.231849
2015-03-06,1.218296
2015-03-09,1.228010
2015-03-10,1.252996
2015-03-11,1.268563
2015-03-12,1.256002
2015-03-13,1.274345
2015-03-16,1.312593
2015-03-17,1.328447
2015-03-18,1.357441
2015-03-19,1.374097
2015-03-20,1.392328
2015-03-23,1.433839
2015-03-24,1.454393
2015-03-25,1.504289
2015-03-26,1.474658
2015-03-27,1.483707
2015-03-30,1.477811
2015-03-31,1.515792
2015-04-01,1.580987
2015-04-02,1.641614
2015-04-03,1.696870
2015-04-07,1.740630
2015-04-08,1.741018
2015-04-09,1.742351
2015-04-10,1.784035
2015-04-13,1.836527
2015-04-14,1.826562
2015-04-15,1.759219
2015-04-16,1.782164
2015-04-17,1.816210
2015-04-20,1.818665
2015-04-21,1.858665
2015-04-22,1.923987
2015-04-23,1.926763
2015-04-24,1.933293
2015-04-27,1.946869
2015-04-28,1.879278
2015-04-29,1.908770
2015-04-30,1.909566
2015-05-04,1.919321
2015-05-05,1.892477
2015-05-06,1.884353
2015-05-07,1.899261
2015-05-08,1.921255
2015-05-11,1.938076
2015-05-12,1.962621
2015-05-13,1.996903
2015-05-14,2.028139
2015-05-15,2.059085
2015-05-18,2.105416
2015-05-19,2.156283
2015-05-20,2.221442
2015-05-21,2.283601
2015-05-22,2.355605
2015-05-25,2.383792
2015-05-26,2.464184
2015-05-27,2.538317
2015-05-28,2.544090
2015-05-29,2.591878
2015-06-01,2.664682
2015-06-02,2.737332
2015-06-03,2.766485
2015-06-04,2.766485
2015-06-05,2.766485
2015-06-08,2.780312
2015-06-09,2.836987
2015-06-10,2.899380
2015-06-11,2.981831
2015-06-12,3.052286
2015-06-15,3.163902
2015-06-16,3.300376
2015-06-17,3.350663
2015-06-18,3.356512
2015-06-19,3.306995
2015-06-23,3.339316
2015-06-24,3.427779
2015-06-25,3.330957
2015-06-26,3.197486
2015-06-29,3.088072
2015-06-30,3.175399
2015-07-01,3.162585
2015-07-02,3.114954
2015-07-03,3.114018
2015-07-06,3.139915
2015-07-07,3.167590
2015-07-08,3.187360
2015-07-09,3.183025
2015-07-10,3.159183
2015-07-13,3.167256
2015-07-14,3.150684
2015-07-15,3.150019
2015-07-16,3.165903
2015-07-17,3.199050
2015-07-20,3.186025
2015-07-21,3.191126
2015-07-22,3.194629
2015-07-23,3.207969
2015-07-24,3.188078
2015-07-27,3.180080
2015-07-28,3.187265
2015-07-29,3.218236
2015-07-30,3.198349
2015-07-31,3.194491
2015-08-03,3.208204
2015-08-04,3.203297
2015-08-05,3.212599
2015-08-06,3.216789
2015-08-07,3.221269
2015-08-10,3.228577
2015-08-11,3.231435
2015-08-12,3.231156
2015-08-13,3.238169
2015-08-14,3.250414
2015-08-17,3.256839
2015-08-18,3.246431
2015-08-19,3.234196
2015-08-20,3.213141
2015-08-21,3.194819
2015-08-24,3.169533
2015-08-25,3.152439
2015-08-26,3.145670
2015-08-27,3.165590
2015-08-28,3.172238
2015-08-31,3.182358
2015-09-01,3.198145
2015-09-02,3.202160
2015-09-07,3.203135
2015-09-08,3.192326
2015-09-09,3.199736
2015-09-10,3.197172
2015-09-11,3.193045
2015-09-14,3.199731
2015-09-15,3.179365
2015-09-16,3.176183
2015-09-17,3.172633
2015-09-18,3.160908
2015-09-21,3.144517
2015-09-22,3.137477
2015-09-23,3.135135
2015-09-24,3.129066
2015-09-25,3.101532
2015-09-28,3.104008
2015-09-29,3.104868
2015-09-30,3.111998
2015-10-08,3.107365
2015-10-09,3.118008
2015-10-12,3.144666
2015-10-13,3.145065
2015-10-14,3.152604
2015-10-15,3.157737
2015-10-16,3.159501
2015-10-19,3.155796
2015-10-20,3.163682
2015-10-21,3.155212
2015-10-22,3.161768
2015-10-23,3.171314
2015-10-26,3.166726
2015-10-27,3.171620
2015-10-28,3.161472
2015-10-29,3.159796
2015-10-30,3.166323
2015-11-02,3.163605
2015-11-03,3.165921
2015-11-04,3.178830
2015-11-05,3.186527
2015-11-06,3.205765
2015-11-09,3.224317
2015-11-10,3.278332
2015-11-11,3.318987
2015-11-12,3.365451
2015-11-13,3.399615
2015-11-16,3.428140
2015-11-17,3.452793
2015-11-18,3.465711
2015-11-19,3.559439
2015-11-20,3.613825
2015-11-23,3.630382
2015-11-24,3.675423
2015-11-25,3.710217
2015-11-26,3.762456
2015-11-27,3.724153
2015-11-30,3.707904
2015-12-01,3.705510
2015-12-02,3.733572
2015-12-03,3.803055
2015-12-04,3.849716
2015-12-07,3.912751
2015-12-08,3.905874
2015-12-09,3.850239
2015-12-10,3.836741
2015-12-11,3.831617
2015-12-14,3.822914
2015-12-15,3.888544
2015-12-16,3.932261
2015-12-17,4.064997
2015-12-18,4.115872
2015-12-21,4.153670
2015-12-22,4.147020
2015-12-23,4.146636
2015-12-24,4.187943
2015-12-25,4.247894
2015-12-28,4.137563
2015-12-29,4.150680
2015-12-30,4.173475
2015-12-31,4.149053
2016-01-04,4.066862
2016-01-05,4.070101
2016-01-06,4.121437
2016-01-07,4.082979
2016-01-08,4.096711
2016-01-11,4.087528
2016-01-12,4.107795
2016-01-13,4.092337
2016-01-14,4.105604
2016-01-15,4.111463
2016-01-18,4.105905
2016-01-19,4.114758
2016-01-20,4.135631
2016-01-21,4.125320
2016-01-22,4.132748
2016-01-25,4.152407
2016-01-26,4.110799
2016-01-27,4.088597
2016-01-28,4.076071
2016-01-29,4.076161
2016-02-01,4.069667
2016-02-02,4.072378
2016-02-03,4.078628
2016-02-04,4.087381
2016-02-05,4.096867
2016-02-15,4.112778
2016-02-16,4.129710
2016-02-17,4.145177
2016-02-18,4.141318
2016-02-19,4.150669
2016-02-22,4.174965
2016-02-23,4.191431
2016-02-24,4.217369
2016-02-25,4.175657
2016-02-26,4.155146
2016-02-29,4.122694
2016-03-01,4.152221
2016-03-02,4.165694
2016-03-03,4.165590
2016-03-04,4.140244
2016-03-07,4.148007
2016-03-08,4.152739
2016-03-09,4.154216
2016-03-10,4.153751
2016-03-11,4.165686
2016-03-14,4.161416
2016-03-15,4.158013
2016-03-16,4.165821
2016-03-17,4.183102
2016-03-18,4.200065
2016-03-21,4.214648
2016-03-22,4.208602
2016-03-23,4.214704
2016-03-24,4.216211
2016-03-25,4.225417
2016-03-28,4.221571
2016-03-29,4.200987
2016-03-30,4.240756
2016-03-31,4.243548
2016-04-01,4.258980
2016-04-05,4.289328
2016-04-06,4.310717
2016-04-07,4.322500
2016-04-08,4.296604
2016-04-11,4.336815
2016-04-12,4.367685
2016-04-13,4.409432
2016-04-14,4.444214
2016-04-15,4.466880
2016-04-18,4.411632
2016-04-19,4.410938
2016-04-20,4.354686
2016-04-21,4.337454
2016-04-22,4.384822
2016-04-25,4.394062
2016-04-26,4.446636
2016-04-27,4.472280
2016-04-28,4.480664
2016-04-29,4.473954
2016-05-03,4.497496
2016-05-04,4.505884
2016-05-05,4.530427
2016-05-06,4.495884
2016-05-09,4.499657
2016-05-10,4.480757
2016-05-11,4.490753
2016-05-12,4.509605
2016-05-13,4.526046
2016-05-16,4.522069
2016-05-17,4.514784
2016-05-18,4.474954
2016-05-19,4.475158
2016-05-20,4.477855
2016-05-23,4.489117
2016-05-24,4.492063
2016-05-25,4.486119
2016-05-26,4.479877
2016-05-27,4.478636
2016-05-30,4.475743
2016-05-31,4.500214
2016-06-01,4.514727
2016-06-02,4.535962
2016-06-03,4.553404
2016-06-06,4.559667
2016-06-07,4.569782
2016-06-08,4.565230
2016-06-13,4.541968
2016-06-14,4.539472
2016-06-15,4.572782
2016-06-16,4.601574
2016-06-17,4.618540
2016-06-20,4.632778
2016-06-21,4.657445
2016-06-22,4.655302
2016-06-23,4.655198
2016-06-24,4.638172
2016-06-27,4.641742
2016-06-28,4.653855
2016-06-29,4.637578
2016-06-30,4.638306
2016-07-01,4.636495
2016-07-04,4.647832
2016-07-05,4.655121
2016-07-06,4.658383
2016-07-07,4.659282
2016-07-08,4.680470
2016-07-11,4.682870
2016-07-12,4.709378
2016-07-13,4.709313
2016-07-14,4.720335
2016-07-15,4.727273
2016-07-18,4.719947
2016-07-19,4.733717
2016-07-20,4.768969
2016-07-21,4.827350
2016-07-22,4.782215
2016-07-25,4.805443
2016-07-26,4.832685
2016-07-27,4.793340
2016-07-28,4.858714
2016-07-29,4.848252
2016-08-01,4.801612
2016-08-02,4.847683
2016-08-03,4.862540
2016-08-04,4.853286
2016-08-05,4.863800
2016-08-08,4.878920
2016-08-09,4.900381
2016-08-10,4.902246
2016-08-11,4.903318
2016-08-12,4.919859
2016-08-15,4.928598
2016-08-16,4.941347
2016-08-17,4.944916
2016-08-18,4.953429
2016-08-19,4.969951
2016-08-22,4.946351
2016-08-23,4.952801
2016-08-24,4.984936
2016-08-25,5.001306
2016-08-26,5.009293
2016-08-29,5.017355
2016-08-30,5.008601
2016-08-31,5.003688
2016-09-01,5.018579
2016-09-02,5.030163
2016-09-05,5.014286
