year,return
2005,-0.010945164670461471
2006,0.43325799348677285
2007,1.544239517735018
2008,-0.46562277482453707
2009,1.7253302478207329
2010,0.30214236278009476
2011,-0.310079191794834
2012,0.026946894835441437
2013,0.6248527941649311
2014,0.4040700677475282
2015,1.5903689539653696
2016,0.01435352338009821
2017,-0.17292618822209194
2018,-0.12134846707374203
2019,0.5251552390843448
2020,0.1667986384180713
2021,0.4759013350799737
2022,0.1262213653717541
2023,0.10165621294618976
2024,0.14622130155810464
2025,0.36455045920963225
2026,0.03060499198693556
