tag,lim_win,lim_thr,lock_ann,ann_d_pp,lock_mdd,mdd_d_pp,lock_sharpe,lock_turn,full_ann
a11_g1_t20a1,20,0,0.1488,-0.86,-0.3084,-1.04,0.9696,0.3989,0.145
a11_g1_thr0,30,0,0.1415,-1.59,-0.3697,-7.17,0.9329,0.3913,0.1388
a11_g1_thr1,30,1,0.1562,-0.12,-0.2897,0.83,1.0085,0.3386,0.1512
a11_g1_thr2,30,2,0.1554,-0.2,-0.2929,0.51,0.9958,0.3284,0.1507
a11_g1_thr3,30,3,0.1564,-0.1,-0.2967,0.13,0.9971,0.324,0.1513
a11_base,-,-,0.1574,0.0,-0.298,0.0,0.9983,0.3197,0.1527
