,div_yield_ttm,roe_ttm,roa_ttm,circ_mv
div_yield_ttm,1.0,0.33832934993299807,0.34171788907145645,0.06776039786374043
roe_ttm,0.33832934993299807,1.0,0.9201073729578887,0.12239143001596768
roa_ttm,0.34171788907145645,0.9201073729578887,1.0,0.010548918867625174
circ_mv,0.06776039786374043,0.12239143001596768,0.010548918867625174,1.0
