year,return
2006,0.4643887636926034
2007,1.187598706914585
2008,-0.5054020561625763
2009,0.09742821019938397
2010,0.12515699841179861
2011,-0.24524738634786536
2012,0.03810449080842182
2013,0.22653210772016075
2014,0.08698414699587254
2015,0.332298269850428
2016,-0.0692392834977622
2017,-0.020187143255248508
2018,-0.16851483103345244
2019,0.4366163354535382
2020,-0.06117978881030739
2021,0.04458553202631954
2022,-0.08737470985840234
2023,-0.005701838387671798
2024,0.054432988137317784
2025,-0.03367557122103315
2026,0.0678710653599941
