year,return
2006,0.2708298550615944
2007,1.0555754974082605
2008,-0.20000246931371157
2009,0.6189082935300187
2010,0.1641172492622791
2011,-0.17318589309665866
2012,0.0043862931395215465
2013,0.3012050490180762
2014,0.24814649926926236
2015,0.9604636670083653
2016,-0.012764123277465012
2017,-0.06687124128478417
2018,-0.03331221561897324
2019,0.2102936571677989
2020,0.11529147385209249
2021,0.22033618161764723
2022,0.035514102441077
2023,0.046539305848023904
2024,0.08612451032894897
2025,0.21317356443266977
2026,-0.006519869090430341
