year,return
2006,0.19375549072276366
2007,0.45282729892723084
2008,-0.15334935039331987
2009,0.4401512957277651
2010,0.1253636273829466
2011,-0.15841334659188622
2012,0.004850637807584768
2013,0.2997239882417251
2014,0.24665352589403922
2015,0.7423364916238726
2016,-0.0025030467189622874
2017,-0.06727494244851318
2018,-0.033399995325195886
2019,0.20506615192544886
2020,0.11000875660624554
2021,0.20007916570848328
2022,0.0363061428674567
2023,0.045913317865548864
2024,0.07981135915591864
2025,0.14650212519926797
2026,-0.004983738216237987
