year,return
2006,0.17979663175049931
2007,0.44845804322148863
2008,-0.15333469807394695
2009,0.41527299368372517
2010,0.11871430785122206
2011,-0.14609170423913642
2012,0.005305340533687586
2013,0.2982420423207961
2014,0.24794807546936193
2015,0.9544531083073178
2016,-0.016432151634636183
2017,-0.08028383009750617
2018,-0.03233392748226749
2019,0.2003155375891481
2020,0.09586964954631005
2021,0.2233764367234259
2022,0.03545770440648455
2023,0.045361982906273246
2024,0.08640302215731799
2025,0.20271037898510347
2026,-0.006947251140047683
