year,return
2006,0.37482763802592256
2007,1.3798848744071393
2008,-0.2796928868310833
2009,1.0419791556998783
2010,0.22198313614239096
2011,-0.16184975689925796
2012,-0.005951652273258334
2013,0.266953657104694
2014,0.24285301186275077
2015,1.156009393829481
2016,-0.056249788439480475
2017,-0.09986934338521558
2018,-0.03237855883790819
2019,0.24918782023264074
2020,0.1252002563020096
2021,0.2839914534718089
2022,0.03180108415177507
2023,0.0679266046720628
2024,0.14262385380413356
2025,0.18647224517431704
2026,-0.009633893708265062
