year,return
2006,0.4643887636926034
2007,1.34232816251901
2008,-0.7159636357844708
2009,0.21560813661449685
2010,0.24122575930816992
2011,-0.417228266461957
2012,0.07814550957363009
2013,0.44603211718250435
2014,0.15552967005066654
2015,0.6271253966880468
2016,-0.13913609993402698
2017,-0.06494161967673329
2018,-0.3211710959873837
2019,1.049856618899787
2020,-0.10546962492493483
2021,0.0980172871216527
2022,-0.17540504352327624
2023,-0.011736733328548632
2024,0.11533002610844378
2025,-0.05867858445456353
2026,0.20815743668383369
