date,nav,num_held
2006-01-04,0.999,0
2006-01-05,0.999,0
2006-01-06,0.999,0
2006-01-09,0.999,0
2006-01-10,0.999,0
2006-01-11,0.999,0
2006-01-12,0.999,0
2006-01-13,0.999,0
2006-01-16,0.999,0
2006-01-17,0.999,0
2006-01-18,0.999,0
2006-01-19,0.999,0
2006-01-20,0.999,0
2006-01-23,0.999,0
2006-01-24,0.999,0
2006-01-25,0.999,0
2006-02-06,0.998001,0
2006-02-07,1.0035495602911666,6
2006-02-08,1.0106792572323475,6
2006-02-09,0.9988174304667446,6
2006-02-10,1.0166201905135144,6
2006-02-13,1.0321235716424322,6
2006-02-14,1.0311526699823361,6
2006-02-15,1.0255128586114295,6
2006-02-16,0.9793658243068143,6
2006-02-17,0.9687441130684644,6
2006-02-20,0.9583737151105631,6
2006-02-21,0.977985585625574,6
2006-02-22,0.9810673977877811,6
2006-02-23,0.9797699118232485,6
2006-02-24,0.9880705695534985,6
2006-02-27,0.9827044289292785,6
2006-02-28,0.9813581671790969,6
2006-03-01,0.9862615418143561,6
2006-03-02,0.9632265796853815,8
2006-03-03,0.9598322928331519,8
2006-03-06,0.9504559847342889,8
2006-03-07,0.9204587593478113,8
2006-03-08,0.9173314193411123,8
2006-03-09,0.9226950609353859,8
2006-03-10,0.9309528521425166,8
2006-03-13,0.9375464061543806,8
2006-03-14,0.9368133439068159,8
2006-03-15,0.9515614043026941,8
2006-03-16,0.9505250786317085,8
2006-03-17,0.9438240694598234,8
2006-03-20,0.9555228059888742,8
2006-03-21,0.9567709382562117,8
2006-03-22,0.9700046359545275,8
2006-03-23,0.9773274222488044,8
2006-03-24,0.9660561061012374,8
2006-03-27,0.9764894222188042,8
2006-03-28,0.9632365776919313,8
2006-03-29,0.9590776738533704,8
2006-03-30,0.9461593504607224,8
2006-03-31,0.9562367633502297,8
2006-04-03,0.9670073614056237,8
2006-04-04,0.9847047951120323,8
2006-04-05,0.9918025319184544,8
2006-04-06,0.9882653062293736,8
2006-04-07,0.9851383640495356,8
2006-04-10,1.018898166633627,8
2006-04-11,1.024730738652852,8
2006-04-12,1.0184091640635804,8
2006-04-13,0.9908833612079596,8
2006-04-14,1.0225116873088267,8
2006-04-17,1.0355262981568933,8
2006-04-18,1.02345824666592,8
2006-04-19,1.0219875256154938,8
2006-04-20,0.9995719027101969,8
2006-04-21,1.0091342167219692,8
2006-04-24,0.9959301040067052,8
2006-04-25,0.98076693453026,8
2006-04-26,0.9906114587636095,8
2006-04-27,0.9857730642309228,8
2006-04-28,0.9925814106939319,8
2006-05-08,1.02057337330143,8
2006-05-09,1.0533809192929966,9
2006-05-10,1.070335626382619,9
2006-05-11,1.048889335655185,9
2006-05-12,1.068719197339737,9
2006-05-15,1.126790853333302,9
2006-05-16,1.083600196821354,9
2006-05-17,1.101526018495025,9
2006-05-18,1.1002522468566558,9
2006-05-19,1.127351961552484,9
2006-05-22,1.1540581363493085,9
2006-05-23,1.0790821356893818,9
2006-05-24,1.0545620713050865,9
2006-05-25,1.0728631172923755,9
2006-05-26,1.0930722428691684,9
