year,return
2006,0.48870292544065297
2007,0.6017750799350512
2008,-0.15326382249912707
2009,0.36018214078108324
2010,0.12454624313463247
2011,-0.13810370761060742
2012,0.014037473074242302
2013,0.18949104458523514
2014,0.2304855863232642
2015,0.9713366133319481
2016,-0.031592584955598024
2017,-0.05089721542010639
2018,-0.03507197461930711
2019,0.13487938571820024
2020,0.07177972417450773
2021,0.17131704151595661
2022,0.02986568080263452
2023,0.03537408454997304
2024,0.06828022459117178
2025,0.1571263422061484
2026,-0.014395867123408235
