date,pos_ratio
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,0.3
2006-05-31,0.3
2006-06-30,0.3
2006-07-31,0.4650318113293644
2006-08-31,0.6313918402137345
2006-09-30,0.7434771252083616
2006-10-31,0.8273404969186977
2006-11-30,0.8823070608715055
2006-12-31,0.9190996565568502
2007-01-31,0.859652808853198
2007-02-28,0.7876631553814426
2007-03-31,0.7358943332066122
2007-04-30,0.711365687923333
2007-05-31,0.7000580020488812
2007-06-30,0.6397543059276043
2007-07-31,0.5976882162054158
2007-08-31,0.5817477665097104
2007-09-30,0.6284038640933562
2007-10-31,0.663953880683624
2007-11-30,0.554680524791411
2007-12-31,0.617982221681113
2008-01-31,0.522550242980876
2008-02-29,0.4797564586039287
2008-03-31,0.4258191876539642
2008-04-30,0.3880683687139102
2008-05-31,0.36164537764664606
2008-06-30,0.3431505490137713
2008-07-31,0.3302047888221006
2008-08-31,0.3211430603963552
2008-09-30,0.31479999930903635
2008-10-31,0.3103599294629538
2008-11-30,0.30725191629831017
2008-12-31,0.30507632458933126
2009-01-31,0.3186577038391912
2009-02-28,0.3879766693916983
2009-03-31,0.4500443535173896
2009-04-30,0.48971141388707035
2009-05-31,0.5782567438558526
2009-06-30,0.6963854436576851
2009-07-31,0.7874698685520638
2009-08-31,0.6412288428102703
2009-09-30,0.5388601580308742
2009-10-31,0.5587266108392128
2009-11-30,0.5967455277532605
2009-12-31,0.6548157644770701
2010-01-31,0.6101526788149602
2010-02-28,0.5988701703635915
2010-03-31,0.6142091198175051
2010-04-30,0.5199463814504216
2010-05-31,0.45396246582859745
2010-06-30,0.40777372549853635
2010-07-31,0.3754416075640494
2010-08-31,0.4329462642608846
2010-09-30,0.6030623857172002
2010-10-31,0.7221436703619848
2010-11-30,0.7546094553865202
2010-12-31,0.773028356016033
2011-01-31,0.6311198490640954
2011-02-28,0.7245580071561805
2011-03-31,0.8071906050513056
2011-04-30,0.6550334234818044
2011-05-31,0.5485233964107494
2011-06-30,0.4739663774745329
2011-07-31,0.42177646422580717
2011-08-31,0.38524352495494574
2011-09-30,0.3596704674669336
2011-10-31,0.3417693272261046
2011-11-30,0.3292385290579062
2011-12-31,0.32046697034035454
2012-01-31,0.31432687923816005
2012-02-29,0.37394183043336526
2012-03-31,0.35175928130319967
2012-04-30,0.5462314969131971
2012-05-31,0.6823620478397069
2012-06-30,0.5676534334875182
2012-07-31,0.48735740344112716
2012-08-31,0.4311501824087226
2012-09-30,0.3918051276860733
2012-10-31,0.3642635893802353
2012-11-30,0.34498451256615686
2012-12-31,0.5414891587963656
2013-01-31,0.6790424111574832
2013-02-28,0.7753296878102516
2013-03-31,0.8427307814671827
2013-04-30,0.7849115470270239
2013-05-31,0.8494380829189199
2013-06-30,0.6846066580432384
2013-07-31,0.5692246606302642
2013-08-31,0.5737851637657561
2013-09-30,0.7016496146360306
2013-10-31,0.6861547302452212
2013-11-30,0.7803083111716553
2013-12-31,0.7412158178201584
