date,trend_ma,trend_ma_hs300,mom,vol,f_val,f_credit,f_m2,f_evt_fx,f_evt_shibor,f_breadth,f_trend_comp,f_mom_comp,f_vol_comp,f_val_q3,f_val_q5,f_val_abs,f_val_deind,f_val_abs_v2,f_val_abs_s1,f_val_abs_s2,f_val_abs_s3,f_val_abs_s4,f_val_q5r
2006-01-31,0.0,0.0,,,1.0,1.0,0.85,1.0,1.0,1.0,0.3,,,1.0,1.0,0.961,1.0,0.961,0.9466,0.911,0.8576,0.9288,1.0
2006-02-28,0.0,0.0,,,1.0,1.0,0.85,1.0,1.0,0.8475965012078959,0.3,,,1.0,1.0,0.948,1.0,0.948,0.9388,0.898,0.8368,0.9184,1.0
2006-03-31,0.0,0.0,,,1.0,1.0,0.85,1.0,1.0,0.846685586494249,0.3,,,1.0,1.0,0.94925,1.0,0.94925,0.93955,0.89925,0.8388,0.9194,1.0
2006-04-30,0.0,0.0,,1.0,1.0,1.0,0.85,1.0,1.0,0.9896670673749088,0.3,,1.0,1.0,1.0,0.9049999999999999,1.0,0.9049999999999999,0.913,0.855,0.76,0.86,1.0
2006-05-31,0.0,0.0,,0.9531989677825248,1.0,1.0,0.85,1.0,1.0,1.0,0.3,,0.9531989677825248,1.0,1.0,0.8574999999999999,1.0,0.8574999999999999,0.8845000000000001,0.78625,0.665,0.765,1.0
2006-06-30,0.0,0.0,,0.8118418285808422,1.0,1.0,0.85,1.0,1.0,0.9970136808585328,0.3,,0.8118418285808422,1.0,1.0,0.85525,1.0,0.85525,0.88315,0.782875,0.6605000000000001,0.7605000000000001,1.0
2006-07-31,1.0,1.0,,0.71802557809728,1.0,1.0,0.85,1.0,1.0,0.8709308034684045,1.0,,0.71802557809728,1.0,1.0,0.8388571428571429,1.0,0.8388571428571429,0.8703428571428572,0.7555,0.6305000000000001,0.7153333333333334,1.0
2006-08-31,1.0,1.0,,0.9263648074286113,1.0,1.0,0.85,1.0,1.0,0.9932701100484831,1.0,,0.9263648074286113,1.0,1.0,0.8369285714285715,1.0,0.8369285714285715,0.8686714285714285,0.7521249999999999,0.627125,0.7093333333333334,1.0
2006-09-30,1.0,1.0,,0.9610537178813817,1.0,1.0,0.85,1.0,1.0,0.956672173851058,1.0,,0.9610537178813817,1.0,1.0,0.8202142857142857,1.0,0.8202142857142857,0.8541857142857143,0.7228749999999999,0.5978749999999999,0.6573333333333333,1.0
2006-10-31,1.0,1.0,,1.0,1.0,1.0,0.85,1.0,1.0,0.9472060405187731,1.0,,1.0,1.0,1.0,0.8435714285714285,1.0,0.8435714285714285,0.8744285714285714,0.7637499999999999,0.63875,0.73,1.0
2006-11-30,1.0,1.0,,1.0,1.0,1.0,0.85,1.0,1.0,0.9984489420653416,1.0,,1.0,1.0,1.0,0.7383571428571428,1.0,0.7383571428571428,0.7832428571428571,0.6398125,0.47983333333333333,0.49475,1.0
2006-12-31,1.0,1.0,,1.0,1.0,1.0,0.85,1.0,1.0,0.9678985145456325,1.0,,1.0,1.0,1.0,0.6434,1.0,0.6434,0.6934,0.512,0.381,0.4,1.0
2007-01-31,1.0,1.0,1.0,0.726540918580461,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.726540918580461,1.0,1.0,0.6004999999999999,1.0,0.6004999999999999,0.6505,0.4507142857142857,0.3503571428571428,0.4,1.0
2007-02-28,1.0,1.0,1.0,0.6244321995149806,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.6244321995149806,1.0,1.0,0.6,1.0,0.6,0.6485000000000001,0.45,0.35,0.4,1.0
2007-03-31,1.0,1.0,1.0,0.6174889052512726,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.6174889052512726,1.0,1.0,0.6,1.0,0.6,0.6363000000000001,0.45,0.35,0.4,1.0
2007-04-30,1.0,1.0,1.0,0.6549243676517219,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.6549243676517219,1.0,1.0,0.6012,1.0,0.6012,0.6512,0.4517142857142857,0.3508571428571428,0.4,1.0
2007-05-31,1.0,1.0,1.0,0.6739290394571802,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.6739290394571802,1.0,1.0,0.6,1.0,0.6,0.6073,0.45,0.35,0.4,1.0
2007-06-30,1.0,1.0,1.0,0.5,1.0,1.0,0.85,1.0,1.0,0.9726907779949594,1.0,1.0,0.5,1.0,1.0,0.6,1.0,0.6,0.6271,0.45,0.35,0.4,1.0
2007-07-31,1.0,1.0,1.0,0.5,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.6,1.0,0.6,0.5619000000000001,0.45,0.35,0.4,1.0
2007-08-31,1.0,1.0,1.0,0.5446769917199279,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.5446769917199279,1.0,1.0,0.6,1.0,0.6,0.5736,0.45,0.35,0.4,1.0
2007-09-30,1.0,1.0,1.0,0.7370148403760944,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.7370148403760944,1.0,1.0,0.6,1.0,0.6,0.55,0.45,0.35,0.4,1.0
2007-10-31,1.0,1.0,1.0,0.7467688424232652,1.0,1.0,0.85,1.0,1.0,0.9374345405880508,1.0,1.0,0.7467688424232652,1.0,1.0,0.6,1.0,0.6,0.55,0.45,0.35,0.4,1.0
2007-11-30,0.0,0.0,1.0,0.7235577877798418,1.0,1.0,0.85,1.0,1.0,0.9731098203108758,0.3,1.0,0.7235577877798418,1.0,1.0,0.6,1.0,0.6,0.5968,0.45,0.35,0.4,1.0
2007-12-31,1.0,1.0,1.0,0.765568324753794,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,0.765568324753794,1.0,1.0,0.6,1.0,0.6,0.5683,0.45,0.35,0.4,1.0
2008-01-31,0.0,0.0,1.0,0.6218411646697252,1.0,1.0,0.85,1.0,1.0,0.946248295002073,0.3,1.0,0.6218411646697252,1.0,1.0,0.6,1.0,0.6,0.6408,0.45,0.35,0.4,1.0
2008-02-29,0.5,0.0,1.0,0.5845282084104556,1.0,1.0,0.85,1.0,1.0,1.0,0.6499999999999999,1.0,0.5845282084104556,1.0,1.0,0.6,1.0,0.6,0.6476,0.45,0.35,0.4,1.0
2008-03-31,0.0,0.0,1.0,0.5,1.0,1.0,0.85,1.0,1.0,0.7855278721228998,0.3,1.0,0.5,1.0,1.0,0.6810999999999999,1.0,0.6810999999999999,0.7311,0.5708125000000001,0.4185,0.4311,1.0
