annual_return,max_drawdown,sharpe,calmar,monthly_win_rate,cumulative_return,avg_holdings,monthly_turnover_est,variant
0.2593,-0.6942,0.9179,0.3735,0.583,114.1414,27.4,0.2516,base
0.1785,-0.4325,0.8996,0.4127,0.583,28.396,27.4,0.2516,p1_trend
0.1619,-0.3907,0.9052,0.4144,0.583,20.9648,27.4,0.2516,p1_trendvol
0.1909,-0.4293,0.9521,0.4447,0.587,35.5074,27.4,0.2516,p1_trend_ma60
0.1785,-0.4325,0.8996,0.4127,0.583,28.396,27.4,0.2516,p1_trend_ma120
