date,micro_turnover_share,micro_turnover_share_roll20,micro_turnover_share_monthly,micro_turnover_mean,micro_turnover_pct60,excess_slope_60d,excess_slope_tstat_60d,snowball_dist_zz500_12m
2019-01-02,0.1144365462765848,0.1137075401110707,0.1064877391572403,,,0.0018136597562078,11.66303213915416,-0.1737727878715942
2019-01-03,0.1172757544579923,0.1144919576234295,0.1064877391572403,,,0.0018260491555932,11.82363022993496,-0.1707198384737271
2019-01-04,0.0968936971923413,0.114418644810745,0.1064877391572403,,,0.0018617225585368,12.416321678762596,-0.1562716047562082
2019-01-07,0.0995616009126388,0.1146948781772064,0.1064877391572403,,,0.0018639584091476,12.43949671702322,-0.1413579218582434
2019-01-08,0.1055716728701317,0.1149326947113454,0.1064877391572403,,,0.001825955968127,12.163343036127047,-0.1356329168870041
2019-01-09,0.1034630396530614,0.1150738692946222,0.1064877391572403,,,0.0017833602681181,11.748010489880688,-0.1381288898799337
2019-01-10,0.1070006713580619,0.1151361647565078,0.1064877391572403,,,0.0017216080884528,11.26999677662325,-0.1329671806287647
2019-01-11,0.1293756213291609,0.1159424838382046,0.1064877391572403,,,0.0016743395008276,10.926929769094968,-0.1306640426673888
2019-01-14,0.1207692001490132,0.1166983315527712,0.1064877391572403,,,0.0016050739535861,10.48224730563803,-0.142803201371468
2019-01-15,0.099695671831776,0.116274125764496,0.1064877391572403,,,0.0015042134849504,9.906171504694958,-0.1418192999082314
2019-01-16,0.1079426215051325,0.1161687038669708,0.1064877391572403,,,0.0014106480214779,9.359609649348428,-0.15139592937224
2019-01-17,0.1088613042406547,0.1159253963924011,0.1064877391572403,,,0.0013216988454352,8.658782152345106,-0.1617242835450061
2019-01-18,0.0940930375252228,0.1150345641696967,0.1064877391572403,,,0.0012040627389559,7.725092460492879,-0.1531013498920256
2019-01-21,0.0986724539340913,0.1146932387987081,0.1064877391572403,,,0.0010566318259063,6.92317135341977,-0.1518946796724014
2019-01-22,0.1173150088616598,0.1152204777681707,0.1064877391572403,,,0.000943092242524,6.336984015580463,-0.1645164112889338
2019-01-23,0.1300962149395015,0.114619602969188,0.1064877391572403,,,0.0008636592931736,5.850553549852165,-0.1578743712866496
2019-01-24,0.1163147233352487,0.1139607569104998,0.1064877391572403,,,0.000784042188409,5.366796557905737,-0.1561215168520092
2019-01-25,0.106097232001204,0.1116073896741263,0.1064877391572403,,,0.0006720048171866,4.540133010675542,-0.1564717892718882
