date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out
2006-01-04,0,0,,,,
2006-02-06,2,2,000933|600428,000933|600428,,
2006-03-01,2,2,000933|600428,000933|600428,,
2006-04-03,2,2,000933|600428,000933|600428,,
2006-05-08,10,10,000933|000937|002022|600428|600096|000550|000155|000912|001696|002025,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,
2006-06-01,20,20,002050|000983|000937|600019|002022|600096|600428|600997|600436|600880|000550|600227|000069|600583|600418|000912|000155|600761|001696|002025,000069|000155|000550|000912|000937|000983|001696|002022|002025|002050|600019|600096|600227|600418|600428|600436|600583|600761|600880|600997,,000933
2006-07-03,20,20,000933|600348|002050|000983|000937|600428|002022|600019|600997|600123|600096|600436|000898|000066|000069|600880|600227|000550|002028|600026,000066|000069|000550|000898|000933|000937|000983|002022|002028|002050|600019|600026|600096|600123|600227|600348|600428|600436|600880|600997,,000912|000155|001696|002025|600583|600418|600761
2006-08-01,20,20,000933|600348|000983|000937|002050|000027|600276|600428|000088|002022|600019|600997|000731|600436|600188|600123|600096|000898|000066|600596,000027|000066|000088|000731|000898|000933|000937|000983|002022|002050|600019|600096|600123|600188|600276|600348|600428|600436|600596|600997,,000069|600880|600227|000550|002028|600026
2006-09-01,3,3,600497|600809|600362,600362|600497|600809,,000933|600348|000983|000937|002050|600428|002022|600019|600997|600436|600123|600096|000898|000066|000027|600276|000088|000731|600188|600596
2006-10-09,3,3,600497|600809|600362,600362|600497|600809,,
2006-11-01,4,4,600497|000088|600809|600362,000088|600362|600497|600809,,
2006-12-01,4,4,000088|600497|600809|600362,000088|600362|600497|600809,,
2007-01-04,4,4,000088|600497|600809|600362,000088|600362|600497|600809,,
2007-02-01,2,2,600497|000088,000088|600497,,600809|600362
2007-03-01,3,3,000088|600497|600809,000088|600497|600809,,
2007-04-02,4,4,000088|600497|002109|600809,000088|002109|600497|600809,,
2007-05-08,20,18,600497|002108|600348|600547|002003|600971|600276|000731|000983|002091|600527|000937|000088|600227|002090|000852|600123|002096|600012|600031,000088|000731|000937|000983|002003|002090|002091|002096|002108|600012|600031|600123|600227|600348|600497|600527|600547|600971,600276|000852,600809|002109
2007-06-01,20,20,600497|002108|002003|600348|600547|600276|600123|600971|002065|002091|000060|002056|000731|600527|000983|000937|002090|000088|601699|600012,000060|000088|000731|000937|000983|002003|002056|002065|002090|002091|002108|600012|600123|600276|600348|600497|600527|600547|600971|601699,,600227|002096|600031
2007-07-02,20,20,600497|002108|002003|600971|600012|002091|002065|000731|600276|000060|002090|600547|002117|002056|000937|000088|000895|002107|600596|600123,000060|000088|000731|000895|000937|002003|002056|002065|002090|002091|002107|002108|002117|600012|600123|600276|600497|600547|600596|600971,,600348|600527|000983|601699
2007-08-01,20,20,600497|002108|600348|002003|002063|600971|002091|002117|002090|002056|600547|000060|002107|000937|000731|600123|600012|600271|600161|000983,000060|000731|000937|000983|002003|002056|002063|002090|002091|002107|002108|002117|600012|600123|600161|600271|600348|600497|600547|600971,,002065|600276|000088|000895|600596
2007-09-03,5,5,600497|600012|600031|600028|600517,600012|600028|600031|600497|600517,,002108|002003|600971|002091|002117|002090|002056|600547|000060|002107|000937|000731|600123|600348|002063|600271|600161|000983
2007-10-08,6,6,600497|002138|600012|600031|600517|600028,002138|600012|600028|600031|600497|600517,,
2007-11-01,6,6,002138|600012|600809|600517|600031|001696,001696|002138|600012|600031|600517|600809,,600497|600028
2007-12-03,9,9,600497|002138|600012|600809|600031|600517|001696|600028|002064,001696|002064|002138|600012|600028|600031|600497|600517|600809,,
2008-01-02,7,7,600497|002138|600012|600809|600031|600517|600028,002138|600012|600028|600031|600497|600517|600809,,001696|002064
2008-02-01,7,7,002138|600012|600809|600031|600028|600517|001696,001696|002138|600012|600028|600031|600517|600809,,600497
2008-03-03,7,7,002138|600012|600809|600031|600028|600517|001696,001696|002138|600012|600028|600031|600517|600809,,
2008-04-01,10,10,002153|002138|600809|600012|600031|600028|002019|001696|600517|002064,001696|002019|002064|002138|002153|600012|600028|600031|600517|600809,,
2008-05-05,20,19,600588|600497|000895|002063|600033|002153|000541|002003|600641|000060|002177|600479|002138|000900|600177|000903|002161|600809|002165|600231,000060|000541|000895|000900|000903|002003|002063|002138|002153|002161|002165|600033|600177|600231|600479|600497|600588|600641|600809,002177,600012|600031|600028|001696|600517|002019|002064
2008-06-02,20,20,002063|600497|000900|000895|600588|600033|600660|002003|002195|600641|000541|002206|002153|002130|002177|002138|600269|600271|002180|600177,000541|000895|000900|002003|002063|002130|002138|002153|002177|002180|002195|002206|600033|600177|600269|600271|600497|600588|600641|600660,,600809|000060|600479|000903|002161|002165|600231
2008-07-01,20,20,600497|002063|000900|600588|600177|000541|600033|600641|002206|002130|002195|000088|002177|600056|002180|002153|600660|600269|002138|002165,000088|000541|000900|002063|002130|002138|002153|002165|002177|002180|002195|002206|600033|600056|600177|600269|600497|600588|600641|600660,,000895|002003|600271
2008-08-01,20,20,600497|000900|600588|002063|600177|000541|002130|002153|002206|002195|002177|600641|002180|600660|600056|002138|002176|002165|000903|000895,000541|000895|000900|000903|002063|002130|002138|002153|002165|002176|002177|002180|002195|002206|600056|600177|600497|600588|600641|600660,,600033|600269|000088
2008-09-01,12,12,600547|002124|002223|600428|000983|000612|600596|600309|600188|002001|601919|601857,000612|000983|002001|002124|002223|600188|600309|600428|600547|600596|601857|601919,,600497|000900|600588|002063|600177|000541|002130|002153|002206|002195|002177|600641|002180|600660|600056|002138|002165|002176|000903|000895
2008-10-06,14,14,002124|600547|002223|600428|000983|000612|600596|600309|600188|600026|000718|002001|601857|601919,000612|000718|000983|002001|002124|002223|600026|600188|600309|600428|600547|600596|601857|601919,,
2008-11-03,0,0,,,,002124|600547|002223|600428|000983|000612|600596|600309|600188|002001|601857|601919|600026|000718
2008-12-01,0,0,,,,
2009-01-05,0,0,,,,
2009-02-02,0,0,,,,
2009-03-02,0,0,,,,
2009-04-01,0,0,,,,
2009-05-04,0,0,,,,
2009-06-01,0,0,,,,
2009-07-01,0,0,,,,
2009-08-03,0,0,,,,
2009-09-01,6,6,002001|600588|002215|600809|600366|600276,002001|002215|600276|600366|600588|600809,,
2009-10-09,6,6,002001|600588|002215|600809|600366|600276,002001|002215|600276|600366|600588|600809,,
2009-11-02,0,0,,,,002001|600588|002215|600809|600366|600276
2009-12-01,0,0,,,,
2010-01-04,0,0,,,,
2010-02-01,0,0,,,,
2010-03-01,0,0,,,,
2010-04-01,0,0,,,,
2010-05-04,18,18,300015|300012|300008|000848|300027|300018|300039|600188|300005|300033|601088|300046|300031|300037|300001|300025|300013|300024,000848|300001|300005|300008|300012|300013|300015|300018|300024|300025|300027|300031|300033|300037|300039|300046|600188|601088,,
2010-06-01,20,20,300015|300012|300026|300009|300058|300043|300008|300054|300017|600188|300018|300010|300027|300039|300047|300014|300035|300005|601088|300033,300005|300008|300009|300010|300012|300014|300015|300017|300018|300026|300027|300033|300035|300039|300043|300047|300054|300058|600188|601088,,000848|300046|300031|300037|300001|300025|300013|300024
2010-07-01,20,20,300026|300012|300015|300009|300008|300058|300043|300054|600188|300051|300039|300017|300027|300041|300018|300010|300014|300047|300035|300005,300005|300008|300009|300010|300012|300014|300015|300017|300018|300026|300027|300035|300039|300041|300043|300047|300051|300054|300058|600188,,601088|300033
