year,return
2006,0.3993030867779326
2007,1.4252944597866346
2008,-0.11754932479485602
2009,0.8050331455464856
2010,0.26100358083932296
2011,-0.10854466951171227
2012,-0.0018562760590643546
2013,0.5415651467686966
2014,0.3795003738390008
2015,0.9419866241466337
2016,0.012461448534442532
2017,-0.09119941252141717
2018,-0.057893899218349976
2019,0.2832039536139703
2020,0.2610041289039755
2021,0.10008107032861546
2022,-0.0035079388564080993
2023,0.14984315665213854
2024,0.033885570686003064
2025,0.36341624175525356
2026,0.012904734359088454
