year,return
2006,0.5067426714427608
2007,1.083330234606672
2008,-0.17132600345176763
2009,0.4738699700099904
2010,0.1107990692551537
2011,-0.056081742678649404
2012,-0.050710055004565935
2013,0.049026316493234745
2014,0.389674034976502
2015,0.567739712948683
2016,-0.047360423340576
2017,0.02927975272156047
2018,0.015279321960071535
2019,0.1513458869082387
2020,0.20603726152879354
2021,0.11747969183196116
2022,-0.08065083961743658
2023,-0.007148672478221263
2024,0.08248174225048044
2025,0.32817392217056085
2026,0.11261045019343308
