,mean,min,n_low,nunique
f_val_abs,0.9360622119815669,0.6,145.0,125.0
f_val_abs_v2,0.9360622119815669,0.6,145.0,125.0
f_val_abs_s1,0.9295954493087559,0.55,223.0,199.0
f_val_abs_s2,0.8870274337557604,0.45,223.0,189.0
f_val_abs_s3,0.8374533170122889,0.35,223.0,189.0
f_val_abs_s4,0.8815237903225808,0.4,223.0,186.0
f_val_q5r,1.0,1.0,0.0,1.0
f_mom_comp,0.6647570834511957,0.4,177.0,97.0
f_breadth,0.9426378588570573,0.6612493046792356,158.0,159.0
