annual_return,max_drawdown,sharpe,calmar,monthly_win_rate,cumulative_return,avg_holdings,monthly_turnover_est,variant,mode,abs_key,power,use_mom,use_breadth,use_q5r
0.1619,-0.3907,0.9052,0.4144,0.583,20.9648,27.4,0.2516,i3_base,base,,1.0,0,0,0
0.1464,-0.368,0.8891,0.3979,0.583,15.6671,27.4,0.2516,i3_abs_v2,abs,v2,1.0,0,0,0
0.1363,-0.3469,0.8719,0.393,0.583,12.8916,27.4,0.2516,i3_abs_v2_p2,abs,v2,2.0,0,0,0
0.1478,-0.3685,0.897,0.4011,0.583,16.0823,27.4,0.2516,i3_abs_s1,abs,s1,1.0,0,0,0
0.138,-0.3525,0.8784,0.3916,0.583,13.3294,27.4,0.2516,i3_abs_s2,abs,s2,1.0,0,0,0
0.1297,-0.3275,0.8676,0.3961,0.583,11.3195,27.4,0.2516,i3_abs_s3,abs,s3,1.0,0,0,0
0.134,-0.3536,0.8599,0.3789,0.583,12.3126,27.4,0.2516,i3_abs_s4,abs,s4,1.0,0,0,0
0.124,-0.3206,0.8439,0.3869,0.583,10.1062,27.4,0.2516,i3_abs_s4_p2,abs,s4,2.0,0,0,0
0.1335,-0.3527,0.8983,0.3787,0.583,12.2071,27.4,0.2516,i3_abs_s4_mom,abs,s4,1.0,1,0,0
0.1307,-0.3516,0.8563,0.3718,0.583,11.5511,27.4,0.2516,i3_abs_s4_breadth,abs,s4,1.0,0,1,0
0.1318,-0.3507,0.8958,0.3757,0.583,11.7844,27.4,0.2516,i3_abs_s4_stack,abs,s4,1.0,1,1,0
0.134,-0.3536,0.8599,0.3789,0.583,12.3126,27.4,0.2516,i3_abs_s4_q5r,abs,s4,1.0,0,0,1
