year,return
2006,0.26063240830218204
2007,0.9703791863311839
2008,-0.16664881399451392
2009,0.5418922872501666
2010,0.1943904942549124
2011,-0.10276189939596436
2012,-0.013610368835772046
2013,0.1350414831597142
2014,0.2597877971535292
2015,0.6630838125727536
2016,-0.0451527757381226
2017,0.022953447982641206
2018,-0.0020109519389467367
2019,0.20465834626124835
2020,0.11704501510893262
2021,0.15470378352504133
2022,-0.015690426282207737
2023,0.03296385657665013
2024,0.08983296897270754
2025,0.22386569331550255
2026,-0.014458402205978382
