year,return
2006,0.48870292544065297
2007,1.6035612740452012
2008,-0.4685772144176251
2009,1.6392672219601478
2010,0.30054923575400894
2011,-0.26069169253592317
2012,0.042828868012622756
2013,0.5327937768333786
2014,0.3635179767882164
2015,1.4503883829802668
2016,-0.007273134493118727
2017,-0.10019376793262613
2018,-0.11557761934152311
2019,0.5012460263785274
2020,0.1854916593944913
2021,0.4277270440163621
2022,0.12757045428558111
2023,0.13840518018309989
2024,0.23375736009872816
2025,0.3199748096253443
2026,-0.01708237639140342
