year,return
2006,0.2708298550615944
2007,1.0555754974082605
2008,-0.21057825260690255
2009,0.6205204385008045
2010,0.1642829085587918
2011,-0.17318946396136303
2012,0.004386286144298479
2013,0.30120504982319374
2014,0.24867687177862985
2015,1.0297588338571586
2016,-0.02530481453096256
2017,-0.09341760138765187
2018,-0.031491237286487284
2019,0.21120978615016073
2020,0.09706828464318029
2021,0.26890828176262627
2022,0.034461123870628496
2023,0.04658781451558358
2024,0.08979976716156934
2025,0.22003980333347806
2026,-0.007653996204039726
