ym,pb_inv,n_pb_inv,ret120,mom_pen,mom_pen_dz
2005-01,,0,,,
2005-02,,0,,,
2005-03,,0,,,
2005-04,,0,,,
2005-05,,0,,,
2005-06,,0,,,
2005-07,,0,-0.5890590018155517,0.5883382805136707,0.5269367301394214
2005-08,,0,0.004654654173714529,-0.0008114731589358151,0.048118464193412966
2005-09,,0,0.15329299592155476,-0.15008410996243846,-0.13420739608048748
2005-10,,0,-0.22753930490112284,0.15174883557371915,-0.02505172212849329
2005-11,,0,0.003213011865209941,0.004095415497958218,0.02475324560109143
2005-12,,0,0.027391133612410017,-0.03947834761557392,-0.02241103065472131
2006-01,0.0976852432547846,1068,-0.2007143289114498,0.07277789573124285,0.051208111951601125
2006-02,0.04217903787436737,1068,0.0042856534863310695,0.03742330875224239,-0.017757853978267645
2006-03,-0.040792425169305264,1065,0.25009356269641114,-0.2288950827822644,-0.0972544222482033
2006-04,0.056593732999817084,1054,-0.1558345801025474,0.09224923512233857,0.007640672249827526
2006-05,0.04852771534768484,1047,-0.19595256668836275,0.05179584133447801,-0.038449986777500125
2006-06,0.06244895926852205,1071,-0.1353527955810465,0.06328905746613875,0.04741361342791683
2006-07,-0.023853715664068978,1068,-0.1128274097170641,0.03963832008239857,0.008037431158561332
2006-08,0.09114293334214808,1074,-0.05336246539250825,0.0075931563976039465,-0.030745952919288815
2006-09,0.14292498443987806,1086,-0.1022663922290641,0.04112906383858164,0.032583058738261776
2006-10,0.047423666328651644,1095,-0.0413110362409989,0.03146348290697163,-0.02124761780278483
2006-11,0.03278391849421676,1104,0.17535931860863985,-0.13130066919267946,-0.03325656638004566
2006-12,-0.023011701902656487,1122,-0.13971312400794905,0.11130300830005278,0.04001378289056687
2007-01,0.08123158493207673,1116,-0.2679621622214479,0.05678586164740742,0.02081339339104203
2007-02,0.06202646003703063,1120,-0.163792434620447,0.04383869897050504,
2007-03,0.05704525539643153,1139,0.1654916004366194,-0.06330106420547527,
2007-04,0.05381552378217168,1168,-0.006762682314760283,0.017959672620079088,
2007-05,0.1719456115246782,1146,-0.21166911806101424,,
2007-06,0.10155070335957075,1157,-0.11080944381612313,-0.020958144618581382,
2007-07,0.07789976178097627,1159,-0.06487690608962988,-0.01898761646894623,
2007-08,0.02505991034670775,1177,-0.004330055459919097,-0.043631249849650444,
2007-09,0.1047301557408861,1187,0.10198338769646437,-0.029446414683708347,-0.02650679710557792
2007-10,0.14171630049034165,1189,-0.45175004255681134,0.350523453376658,0.17141361730654778
