year,return
2006,0.48870292544065297
2007,1.6035612740452012
2008,-0.30646580042684934
2009,0.761198049814894
2010,0.10340403540522702
2011,-0.19934351076430823
2012,0.027509730800266974
2013,0.22333288605265333
2014,0.36351797678821507
2015,1.2432662994659047
2016,0.004486808622742089
2017,-0.1357712368770163
2018,-0.0551724186694712
2019,0.22588543176680198
2020,0.1335976566028756
2021,0.42772704401636275
2022,-0.027233844013362263
2023,0.09817963295494048
2024,-0.07919057652218653
2025,0.24547822200733616
2026,-0.0687308698834116
