year,return
2006,0.30881096747468706
2007,0.8619852028964468
2008,-0.13897380057164677
2009,0.3241513149383579
2010,0.10091229930230727
2011,-0.08121689044842473
2012,-0.009850193598419432
2013,0.12879565578556984
2014,0.029742578135894204
2015,0.6175333251251218
2016,-0.025877664072889828
2017,-0.026446334455859533
2018,0.003668148400010729
2019,0.06365717169126239
2020,0.014080121622221053
2021,0.11059636284252572
2022,-0.03041264189931614
2023,0.0016812817445819306
2024,0.04853030327768049
2025,0.0729560144730308
2026,0.051958751956490135
