date,open,close,high,low,vol
2017-08-24,100.126,99.487,100.126,92.000,2782.000
2017-08-25,99.487,99.809,99.838,99.001,2889.000
2017-08-28,99.817,99.979,99.988,99.790,2725.000
2017-08-29,99.980,99.773,99.980,99.753,530.000
2017-08-30,99.783,99.877,99.900,99.735,410.000
2017-08-31,98.853,99.998,100.000,98.853,1115.000
2017-09-01,99.815,99.866,99.990,99.815,266.000
2017-09-04,99.867,99.878,99.988,99.867,185.000
2017-09-05,99.277,99.870,99.889,99.277,46.000
2017-09-06,99.849,99.871,100.000,99.830,826.000
2017-09-07,99.710,99.822,99.999,99.710,426.000
2017-09-08,99.751,99.961,99.990,99.751,365.000
2017-09-11,99.970,99.998,100.010,99.816,862.000
2017-09-12,99.951,99.962,100.030,99.951,236.000
2017-09-13,99.935,99.995,100.038,99.935,198.000
2017-09-14,99.408,100.009,100.069,99.408,347.000
2017-09-15,99.730,100.195,100.198,99.730,170.000
2017-09-18,100.041,100.276,100.298,100.041,680.000
2017-09-19,100.030,100.121,100.276,100.030,212.000
2017-09-20,100.124,100.225,100.320,100.124,717.000
2017-09-21,100.119,100.280,100.350,100.119,515.000
2017-09-22,100.103,100.454,100.510,100.103,1421.000
2017-09-25,100.126,100.546,100.600,100.126,1108.000
2017-09-26,100.200,100.340,100.501,100.200,2363.000
2017-09-27,100.207,100.315,100.413,100.206,1009.000
2017-09-28,100.318,100.428,100.445,100.318,932.000
2017-09-29,100.200,100.010,100.200,99.921,355.000
2017-10-09,100.200,100.136,100.200,100.111,1019.000
2017-10-10,100.133,100.200,100.200,100.133,597.000
2017-10-11,100.167,99.994,100.172,98.001,357.000
2017-10-12,99.997,99.990,100.120,99.007,756.000
2017-10-13,99.990,99.914,100.168,99.664,932.000
2017-10-16,99.911,99.901,99.911,99.502,1849.000
2017-10-17,99.898,99.601,99.898,99.564,1064.000
2017-10-18,99.604,99.650,99.998,99.600,372.000
2017-10-19,99.653,99.836,99.836,99.600,1156.000
2017-10-20,99.833,99.741,99.833,99.522,834.000
2017-10-23,99.629,99.700,99.856,99.629,1207.000
2017-10-24,99.550,99.668,99.680,99.550,1045.000
2017-10-25,99.551,99.660,99.700,99.500,390.000
2017-10-26,99.500,99.608,99.608,99.408,1302.000
2017-10-27,99.308,99.600,99.700,99.308,1348.000
2017-10-30,99.597,99.400,99.600,98.640,191.000
2017-10-31,99.400,99.386,99.650,99.100,1017.000
2017-11-01,99.389,99.400,99.400,99.156,1070.000
2017-11-02,99.203,99.300,99.300,99.203,1183.000
2017-11-03,99.200,99.200,99.298,99.200,664.000
2017-11-06,99.200,99.214,99.215,99.200,961.000
2017-11-07,99.214,99.215,99.215,99.214,2086.000
2017-11-08,99.100,99.200,99.215,99.001,518.000
2017-11-09,99.010,99.098,99.100,98.500,1076.000
2017-11-10,99.095,98.676,99.095,98.580,1173.000
2017-11-13,98.900,98.700,98.900,98.504,1520.000
2017-11-14,98.700,98.980,98.980,98.502,865.000
2017-11-15,98.977,98.288,98.977,97.922,138.000
2017-11-16,98.288,98.000,98.398,98.000,3808.000
2017-11-17,98.010,98.183,98.190,98.010,499.000
2017-11-20,98.998,98.213,98.998,98.200,1366.000
2017-11-21,98.213,98.231,98.359,98.213,1379.000
2017-11-22,98.234,98.048,99.500,98.039,544.000
2017-11-23,98.051,98.880,98.999,97.964,272.000
2017-11-24,98.880,98.200,99.997,98.059,539.000
2017-11-27,98.197,98.697,98.871,98.150,1313.000
2017-11-28,98.697,98.100,98.697,98.100,1002.000
2017-11-29,97.834,97.454,98.001,97.100,870.000
2017-11-30,97.451,97.822,98.000,97.270,390.000
2017-12-01,97.825,97.996,98.190,97.770,476.000
2017-12-04,97.999,97.993,98.088,97.901,237.000
2017-12-05,98.000,97.994,98.247,97.831,1554.000
2017-12-06,97.997,97.850,98.040,97.834,736.000
2017-12-07,97.853,98.002,98.011,97.704,604.000
2017-12-08,97.866,97.802,98.000,97.802,302.000
2017-12-11,97.805,97.805,98.048,97.614,477.000
2017-12-12,97.808,97.900,97.999,97.750,1437.000
2017-12-13,97.897,97.949,97.949,97.806,1716.000
2017-12-14,97.946,97.903,98.000,97.903,1213.000
2017-12-15,97.906,97.801,98.037,97.800,327.000
2017-12-18,97.825,97.900,97.999,97.825,754.000
2017-12-19,97.903,97.850,97.984,97.813,1617.000
2017-12-20,97.853,98.150,98.498,97.853,469.000
2017-12-21,98.147,98.148,98.460,97.962,565.000
2017-12-22,98.150,98.155,98.383,98.126,2476.000
2017-12-25,98.164,98.160,98.228,98.011,524.000
2017-12-26,98.163,98.250,98.394,98.001,212.000
2017-12-27,98.247,98.113,98.481,98.113,1130.000
2017-12-28,98.116,97.050,98.250,97.050,228.000
2017-12-29,97.502,98.116,98.400,97.502,366.000
2018-01-02,98.119,98.200,98.200,98.002,1070.000
2018-01-03,98.203,98.160,98.203,98.101,754.000
2018-01-04,98.110,98.161,98.161,98.081,1364.000
2018-01-05,98.164,98.078,98.477,97.501,564.000
2018-01-08,98.075,97.986,98.342,97.851,365.000
2018-01-09,97.980,98.124,98.294,97.855,775.000
2018-01-10,98.120,98.004,98.120,97.930,361.000
2018-01-11,98.001,97.742,98.001,97.621,327.000
2018-01-12,97.751,97.755,97.888,97.751,130.000
2018-01-15,97.758,97.800,97.889,97.650,97.000
2018-01-16,97.803,97.859,97.859,97.731,935.000
2018-01-17,97.856,97.634,97.856,97.600,22.000
2018-01-18,97.653,97.702,97.779,97.551,332.000
2018-01-19,97.641,97.997,97.997,97.641,126.000
2018-01-22,97.987,98.456,98.499,97.714,138.000
2018-01-23,98.200,98.250,98.399,98.200,860.000
2018-01-24,98.244,98.250,98.396,98.061,3013.000
2018-01-25,98.242,97.816,98.390,97.502,628.000
2018-01-26,98.001,98.027,98.456,98.001,1209.000
2018-01-29,98.036,98.010,98.279,98.000,1062.000
2018-01-30,98.013,97.861,98.339,97.852,970.000
2018-01-31,97.864,98.053,98.054,97.763,244.000
2018-02-01,98.056,97.966,98.171,97.851,988.000
2018-02-02,97.978,98.168,98.168,97.931,139.000
2018-02-05,98.165,98.170,98.299,98.100,478.000
2018-02-06,98.173,98.001,98.200,97.951,116.000
2018-02-07,98.103,98.201,98.249,98.100,341.000
2018-02-08,98.200,98.342,98.896,98.200,140.000
2018-02-09,98.280,98.400,98.488,98.280,171.000
2018-02-12,98.399,98.251,98.947,98.251,115.000
2018-02-13,98.421,98.282,98.580,98.263,7.000
2018-02-14,98.285,98.891,98.900,98.285,147.000
2018-02-22,98.844,98.600,98.879,98.600,28.000
2018-02-23,98.371,98.600,98.959,98.371,284.000
2018-02-26,98.980,99.345,100.560,98.980,724.000
2018-02-27,99.348,99.500,100.300,99.348,425.000
2018-02-28,99.400,99.467,99.499,99.400,994.000
2018-03-01,99.401,99.392,99.401,99.111,143.000
2018-03-02,99.060,99.292,99.392,99.060,282.000
2018-03-05,99.080,99.201,99.301,99.060,27.000
2018-03-06,99.011,99.255,99.255,99.011,227.000
2018-03-07,99.260,99.200,99.260,99.032,2078.000
2018-03-08,99.000,99.072,99.124,99.000,455.000
2018-03-09,99.072,99.080,99.194,99.005,256.000
2018-03-12,99.080,99.092,99.200,99.029,200.000
2018-03-13,99.089,99.050,99.170,99.004,54.000
2018-03-14,99.000,98.978,99.065,98.952,141.000
2018-03-15,98.988,99.019,99.030,98.988,52.000
2018-03-16,99.022,99.030,99.091,98.995,143.000
2018-03-19,99.030,99.170,99.250,99.030,47.000
2018-03-20,99.075,99.200,99.200,99.075,65.000
2018-03-21,99.203,99.184,99.360,99.120,62.000
2018-03-22,99.185,99.390,100.202,99.185,49.000
2018-03-23,99.610,99.990,100.000,99.500,190.000
2018-03-26,99.990,99.700,100.296,99.550,44.000
2018-03-27,99.470,99.560,99.990,99.470,28.000
2018-03-28,99.563,99.668,99.760,99.563,17.000
2018-03-29,99.671,99.331,99.991,99.282,353.000
2018-03-30,99.334,99.565,100.094,99.334,242.000
2018-04-02,99.568,99.769,99.790,99.334,287.000
2018-04-03,99.772,99.780,100.160,99.621,236.000
2018-04-04,99.783,99.879,99.880,99.518,261.000
