ym,pool_n,mean_peers,med_peers,share_ge5,csad_nan_share
2005-08,1156,18.40051903114187,20.0,0.9411764705882353,0.058823529411764705
2005-09,1158,17.616580310880828,20.0,0.9050086355785838,0.09499136442141623
2005-10,1159,17.866264020707508,20.0,0.9163071613459879,0.08369283865401209
2005-11,1163,17.761822871883062,20.0,0.9131556319862425,0.08684436801375753
2005-12,1170,16.12735042735043,20.0,0.8427350427350427,0.15726495726495726
2006-01,1170,14.991452991452991,20.0,0.8,0.2
2006-02,1170,13.777777777777779,20.0,0.7495726495726496,0.2504273504273504
2006-03,1170,12.147008547008546,16.5,0.694017094017094,0.305982905982906
2006-04,1170,9.482051282051282,6.0,0.5743589743589743,0.4256410256410256
2006-05,1170,7.069230769230769,4.0,0.47863247863247865,0.5213675213675214
2006-06,1170,9.447863247863248,6.0,0.5666666666666667,0.43333333333333335
2006-07,1170,10.441880341880342,9.0,0.5991452991452991,0.4008547008547009
2006-08,1170,11.632478632478632,14.0,0.6495726495726496,0.3504273504273504
2006-09,1170,12.542735042735043,20.0,0.6811965811965812,0.3188034188034188
2006-10,1170,12.890598290598291,20.0,0.6854700854700855,0.3145299145299145
2006-11,1170,13.346153846153847,20.0,0.7025641025641025,0.29743589743589743
2006-12,1170,12.222222222222221,20.0,0.6495726495726496,0.3504273504273504
2007-01,1175,12.709787234042553,20.0,0.6757446808510639,0.3242553191489362
2007-02,1182,14.187817258883248,20.0,0.7478849407783418,0.2521150592216582
2007-03,1191,15.588581024349287,20.0,0.81696053736356,0.18303946263643997
2007-04,1194,15.380234505862646,20.0,0.8065326633165829,0.1934673366834171
2007-05,1204,15.354651162790697,20.0,0.8098006644518272,0.19019933554817275
2007-06,1215,15.723456790123457,20.0,0.817283950617284,0.18271604938271604
2007-07,1230,17.270731707317072,20.0,0.8910569105691057,0.10894308943089431
2007-08,1243,17.58648431214803,20.0,0.9002413515687852,0.0997586484312148
2007-09,1255,16.922709163346614,20.0,0.8741035856573706,0.1258964143426295
2007-10,1260,17.001587301587303,20.0,0.8793650793650793,0.12063492063492064
2007-11,1272,17.07625786163522,20.0,0.875,0.125
2007-12,1276,16.33307210031348,20.0,0.8432601880877743,0.15673981191222572
2008-01,1280,14.8796875,20.0,0.78203125,0.21796875
2008-02,1288,16.145186335403725,20.0,0.8338509316770186,0.16614906832298137
2008-03,1305,17.30574712643678,20.0,0.8835249042145594,0.11647509578544062
2008-04,1318,18.20864946889226,20.0,0.9188163884673748,0.08118361153262518
2008-05,1325,18.638490566037735,20.0,0.9381132075471698,0.061886792452830186
2008-06,1337,18.6245325355273,20.0,0.9364248317127898,0.06357516828721017
2008-07,1354,18.74076809453471,20.0,0.9416543574593796,0.058345642540620385
2008-08,1366,18.791361639824306,20.0,0.9436310395314788,0.05636896046852123
2008-09,1374,18.94250363901019,20.0,0.950509461426492,0.049490538573508006
2008-10,1375,18.951272727272727,20.0,0.9498181818181818,0.05018181818181818
2008-11,1384,18.960260115606935,20.0,0.9501445086705202,0.04985549132947977
2008-12,1400,19.114285714285714,20.0,0.9564285714285714,0.04357142857142857
2009-01,1411,19.161587526576895,20.0,0.9588944011339475,0.041105598866052445
2009-02,1415,19.16113074204947,20.0,0.9604240282685512,0.039575971731448764
2009-03,1421,19.090077410274453,20.0,0.9570724841660803,0.04292751583391977
2009-04,1427,19.014015416958653,20.0,0.9572529782761037,0.042747021723896286
2009-05,1427,18.819201121233355,20.0,0.948843728100911,0.051156271899089
2009-06,1427,18.37841625788367,20.0,0.9341275402943238,0.06587245970567625
2009-07,1428,17.746498599439775,20.0,0.9124649859943977,0.08753501400560224
2009-08,1428,17.326330532212886,20.0,0.8921568627450981,0.10784313725490197
2009-09,1428,17.30952380952381,20.0,0.8907563025210085,0.1092436974789916
2009-10,1428,17.600840336134453,20.0,0.9068627450980392,0.09313725490196079
2009-11,1428,17.837535014005603,20.0,0.9117647058823529,0.08823529411764706
2009-12,1428,18.529411764705884,20.0,0.938375350140056,0.06162464985994398
2010-01,1428,18.934173669467786,20.0,0.9537815126050421,0.046218487394957986
2010-02,1433,19.068387997208653,20.0,0.9595254710397767,0.040474528960223306
2010-03,1439,18.835302293259208,20.0,0.9541348158443363,0.04586518415566365
2010-04,1454,18.310178817056396,20.0,0.938101788170564,0.061898211829436035
2010-05,1486,18.18236877523553,20.0,0.9367429340511441,0.063257065948856
2010-06,1497,18.440213760855045,20.0,0.9445557782231129,0.055444221776887105
2010-07,1518,18.563899868247695,20.0,0.9453227931488801,0.054677206851119896
2010-08,1552,18.721649484536083,20.0,0.9490979381443299,0.0509020618556701
2010-09,1580,18.86392405063291,20.0,0.9537974683544304,0.046202531645569624
2010-10,1608,18.78855721393035,20.0,0.9496268656716418,0.05037313432835821
2010-11,1631,18.729000613120785,20.0,0.9478847332924586,0.05211526670754139
2010-12,1663,18.52916416115454,20.0,0.9476849067949489,0.052315093205051115
2011-01,1688,17.93127962085308,20.0,0.9229857819905213,0.07701421800947868
2011-02,1710,18.132163742690057,20.0,0.927485380116959,0.07251461988304093
2011-03,1728,17.90162037037037,20.0,0.9259259259259259,0.07407407407407407
2011-04,1759,17.66173962478681,20.0,0.9169982944855031,0.08300170551449687
2011-05,1785,17.557422969187677,20.0,0.9086834733893557,0.09131652661064425
2011-06,1803,15.99667221297837,20.0,0.8496949528563505,0.15030504714364948
